focal_entity,candidate_entity,label
air dior jordan 1,Jordan Mens Air Jordan 1 Retro High CO.JP DC1788 029 Metallic Silver - Size 9,False
biomemd probiotic and prebiotic for women,"Probiotics for Women and Men Digestive Health - Raw Prebiotics and Probiotics, Probiotics 60 Billion, 19 Strains Acidophilus Probiotic Supplement for Gut Health & Weight Loss, Shelf Stable; 60 Caps",True
biomemd probiotic and prebiotic for women,1MD Nutrition PreBioMD - Prebiotic with PreforPro® | Support Healthy Digestion and Beneficial Bacteria,True
biomemd probiotic and prebiotic for women,"Doctor's Recipes Women’s Probiotic, 60 Caps 50 Billion CFU 16 Strains, with Organic Prebiotics Cranberry, Digestive Immune Vaginal & Urinary Health, Shelf Stable, Delayed Release, No Soy Gluten Dairy",True
biomemd probiotic and prebiotic for women,"1MD BiomeMD Probiotics for Women - 62 Billion CFUs, 16 Strains with Prebiotics with HMO | Supports Vaginal & Urinary Health - Doctor-Formulated | 30 Capsules",True
cascos a50 astro gaming,"Cascos Auriculares, YINSAN Auriculares Gaming Estéreo da 3,5 mm Jack con Micrófono Flexible y Luz LED RGB, Cascos Gaming Profesionales para PS4 Xbox One Nintendo Switch PC Playstation 4",False
cascos a50 astro gaming,"Razer Kraken X USB - Auriculares Gaming con sonido envolvente digital 7.1, micrófono cardioide plegable, comodidad ligera, Negro (USB)",True
cascos a50 astro gaming,"ASTRO Gaming A50 Base de Carga de 4a Generación para PS5, PS4, PC - Negro",False
cascos a50 astro gaming,Astro Gaming A50 Auriculares Inalámbricos para Gaming Y Estación-Base De Carga + A50 Auriculares Inalámbricos Mod Kit Gen 4 para Aislamiento De Ruido,False
panda crate toys 0-24,"Matty's Toy Stop EVA Foam Soft Shape Sorter 5.5"" Cube for Babies & Toddlers (Bright Colors)",True
panda crate toys 0-24,Adena Montessori Object Permanence Box with Tray Three Balls Montessori Toys for 6-12 Month Infant 1 Year Babies Toddlers,True
panda crate toys 0-24,"horsemen Dog Chew Toy Squeaky, Durable Natural Rubber Dog Teeth Cleaning Toothbrush for All Aggressive Chewers Small/Medium Dogs Puppy (Green)",False
panda crate toys 0-24,"Fisher-Price Roll, Pop & Zoom Friends Gift Set, 3 Animal-Themed, Crawl-After Toy Vehicles for Infants Ages 9 Months and Older",False
omega seamaster 300m,Tissot mens Seastar 660/1000 Stainless Steel Casual Watch Grey T1204171104100,False
omega seamaster 300m,Tissot Men's Seastar 660/1000 Stainless Steel Casual Watch Black T1204171704100,False
omega seamaster 300m,Omega Seamaster Diver Master Co-axial 210.30.42.20.03.001,False
omega seamaster 300m,"Omega Seamaster Diver""007 Edition"" Automatic Chronometer Brown Dial Mens Watch 210.92.42.20.01.001",False
mouse razer deathadder,"Redragon M711-FPS Cobra FPS Ratón Gaming RGB Personalizable, Sensor óptico Profesional Pixart PMW3360, Interruptores ÓPTICOS LK, 8 Botones Programables, Memoria integrada, Cable mallado, PC compatible",True
mouse razer deathadder,"LIONCAST Ratón de Juegos LM40 WL Wireless para Juego inalámbrico (Sensor óptico RGB PMW3360, 12 000 dpi, batería de Iones de Litio, Modo Dual con Cable)",True
mouse razer deathadder,Razer DeathAdder Essential - Ratón óptico para juegos,False
mouse razer deathadder,"Glorious PC Gaming Race Model D Gaming-Maus - Blanco Mate, GD-White",True
marcy mwm-990 home gym,"Marcy Power Tower Multi-Grip Pull Up & Dip Station VKR Home Gym TC-3515 BLACK, 74 pounds",False
marcy mwm-990 home gym,"Marcy Home Gym Cage System Workout Station for Weightlifting, Bodybuilding and Strength Training MWM-7041",True
marcy mwm-990 home gym,"Marcy Foldable 8-Level Magnetic Resistance Rowing Machine with Transport Wheels NS-40503RW,Grey",False
marcy mwm-990 home gym,"BalanceFrom-Home-Gym-System Workout-Station with 380LB of Resistance, 145LB-Weight Stack, Comes with Installation Instruction-Video",True
yamaha jr1,"Ibanez 3/4 Mini Dreadnought Acoustic Guitar, Open Pore Natural",True
yamaha jr1,J&Z Classical Acoustic Guitar for Beginners Professional 36 Inch 3/4 Size Kid Teenager Student Guitar Guitarra Acustica Soft Nylon Strings Guitar With Bag Strap Clip Tuner Picks and Wipe for Ages 5-15,True
yamaha jr1,"Yamaha JR1 1/2-Scale Mini Acoustic Guitar Bundle with Strings, Picks, Austin Bazaar Instructional DVD, and Polishing Cloth",False
yamaha jr1,"Yamaha JR1 Junior-Size 3/4-Size Acoustic Guitar Bundle with Gig Bag, Tuner, Strap, Strings, Picks, Instructional DVD, and Austin Bazaar Polishing Cloth",False
xbox one sport red controller,Xbox Wireless Controller – Sport Blue Special Edition,True
xbox one sport red controller,Xbox Wireless Controller - Gears 5 Kait Diaz Limited Edition,True
xbox one sport red controller,Xbox Wireless Controller - Sport Red Special Edition,False
xbox one sport red controller,Controller Gear Sport Red Special Edition Xbox Pro Charging Stand (Controller Sold Separately) - Xbox One,False
surface pro 6,"Microsoft Surface Pro 7 - Ordenador portátil 2 en 1 de 12.3"" (Intel Core i5-1035G4, 8GB RAM, 128GB SSD, Intel Graphics, Windows 10) Plata",True
surface pro 6,"Microsoft Surface Pro - Ordenador portátil 2 en 1, 12.3'' (Intel Core M3-7Y30, 4GB RAM, 128GB SSD, Intel Graphics, Windows 10 Pro) Plata",False
surface pro 6,SupCase Funda Surface Pro 7 Carcasa Completa con Soporte de pie [UBPro] Case para Microsoft Surface Pro 6 2018 / Surface Pro 5 2017 / Pro 4 2015 (Negro),False
surface pro 6,"LACORAMO Stylus Lápiz con rechazo de Palma, 4096 Sensibilidad a la presión, Pen para Surface go/Surface Pro 6/5/4/3, Pro 2017, Surface Book",False
air pods,XINYISHUNHE I8X-1104-1 extensión de la garantía,False
air pods,"Auriculares Inalámbricos Bluetooth 5.0 con Caja de Carga Rápida, HIFI Estéreo Auriculares con HD Mic, Auriculares Inalámbricos para iPhone Airpods pro Samsung Android y Otros Teléfonos Inteligentes",False
air pods,"Funda para Airpods Pro, Funda de Silicona Airpods Pro 2019, Funda Protectora Airpods Pro con mosquetón antipérdida, Ajuste Adecuado y antichoque Duradero",False
air pods,Apple Air Pods (modelo anterior),False
sony oled tv,"Sony BRAVIA KD-32W804-32-Pulgadas - 2K Ultra HD UHD - Rango Dinámico HDR - Android TV - Negro, Modelo 2021",False
sony oled tv,TV SONY 32 KDL32W800 HD STV WiFi MFXR400 Web,False
sony oled tv,TV SONY 65 KE65A8 UHD OLED Android X1ULTIMATE ACO,False
sony oled tv,"Sony BRAVIA KD-55X89J - Televisor LED de 55"" con 4K Ultra HD (UHD), alto rango dinámico (HDR) y Smart TV con Google TV, modelo 2021, color negro",False
walabot diy wall scanner,"Stud Finder Wall Scanner - 5 in 1 Sensor Wall Scanner with LCD Display & Auto Calibration, Beam Finder Center Finding & Sound Warning for Wood AC Wire Metal Studs Detection",True
walabot diy wall scanner,Stud Finder Wall Scanner - Upgrade 5 in 1 Stud Sensor Wall Detector Wood Beam Drywall Joist Pipe Live AC Wire Metal Studs Locator Best Electronic Wall Detector Edge Center Finding with LCD Display,True
walabot diy wall scanner,"RAGU Endoscope Camera, 1080P HD Borescope 4.3” LCD Screen Inspection Camera IP67 Waterproof Industrial Endoscope with 8 Dimmable LEDs 16.4ft Semi-Rigid Cord",False
walabot diy wall scanner,MOCITA Stud Finder Wall Scanner - 4 in 1 Electronic Beam Finder Stud Sensor Wall Center Detector with LCD Display for Stud Wood Metal AC Wire Joist Detection,False
roomba 677,"roborock S6 Robot Vacuum, Robotic Vacuum Cleaner and Mop with Adaptive Routing,Multi-Floor Mapping, Selective Room Cleaning, Super Strong Suction, and Extra Long Battery Life, Works with Alexa(Black)",True
roomba 677,"iRobot Roomba i7+ (7550) Robot Vacuum Bundle with Automatic Dirt Disposal - Wi-Fi Connected, Smart Mapping, Ideal for Pet Hair (+2 AllergenLock Dirt Disposal Bags)",True
roomba 677,iRobot Roomba 677 Smart Wi-Fi Connected Multisurface Robot Vacuum with Alexa Connectivity and Pet Hair Technology (Non-Retail Packaging),False
roomba 677,Rumba Our Dance,False
coffee mate sin azucar,"Marca Amazon - Happy Belly Café de tueste natural en grano ""Caffè Intenso"" (2 x 500g)",False
coffee mate sin azucar,Marca Amazon - Solimo Nespresso Compatible Ristretto Cápsulas- Certificada UTZ - 100 Cápsulas (2 Paquetes x 50),False
coffee mate sin azucar,"LUCIFER'S ROAST Espresso de KIQO de Italia - 1kg café extremadamente fuerte - bajo en ácido - 100% Robusta - 571 mg de cafeína por taza (grano de café, 1000g)",False
coffee mate sin azucar,"☕ Café en grano natural. 100% Arabica. Pack para regalo y degustación. 4 orígenes: Colombia, Uganda, Brasil, Honduras. 4x250g. Tostado artesanal.",False
shun chef knife,"Shun Classic Blonde 5 Piece Starter Knife Block Set; Chef’s, Utility, and Paring Knives with Honing Steel and Block; PakkaWood Handles, VG-MAX Blades , Large",True
shun chef knife,"Shun Kanso 6-Piece Block Set; Includes 3.5” Paring Knife, 6” Utility Knife, 8” Chef’s Knife, 5.5” Hollow-Ground Santoku, Kanso Combination Honing Steel and Sleek Wood Block with Two Additional Slots",True
shun chef knife,"Shun Classic Blonde 8” Chef's Knife, Blonde PakkaWood Handle, Full Tang VG-MAX Blade",False
shun chef knife,"Shun Cutlery Classic 2-Piece Starter Set 8, Multi-Purpose Hollow Ground Chef’s 3.5-inch Paring Knife are The Essential Kitchen Duo, Exquisitely Handcrafted Japanese",False
allen bicycle trailer hitch,"IKURAM R 2 Bike Rack Bicycle Carrier Racks Hitch Mount Double Foldable Rack for Cars, Trucks, SUV's and minivans with a 2"" Hitch Receiver",False
allen bicycle trailer hitch,"Venzo 2 Bike Bicycle Platform Style Carrier - Bike Rack for Car SUV Truck Tow Trailer Hitch Receiver Mount Size 2"" - Sturdy & Rust Proof",False
allen bicycle trailer hitch,Bicycle Rear Racks Steel Bicycle Trailer Hitch Mount Adapter Replacement Most Bike Cycling Rear Carrier Mount Bike Accessory (2 Pack),True
allen bicycle trailer hitch,Titanker Upgraded Bike Bicycle Trailer Coupler Attachment Angled Elbow for Instep & Schwinn Bike Trailers,True
mtg plague crafter,Magic: the Gathering - Commander 2018 - Adaptive Enchantment,True
mtg plague crafter,Magic: the Gathering - Dominaria Planeswalker Deck - Teferi,True
mtg plague crafter,Magic: The Gathering - Plaguecrafter - Mystery Booster - Guilds of Ravnica,False
mtg plague crafter,Magic: The Gathering - Plaguecrafter - Commander 2019,False
vanessa rosella tote bag,Antonio Valeria Avery Blue Leather Tote/Top Handle Shoulder Bag for Women,True
vanessa rosella tote bag,Lands' End Natural Open Top Canvas Tote Natural/true Navy No SzMedium,True
vanessa rosella tote bag,Monogram Tote Bag with 100% Cotton Canvas and a Chic Personalized Monogram (Black Script Letter - D),True
vanessa rosella tote bag,Monogram Tote Bag with 100% Cotton Canvas and a Chic Personalized Monogram (Black Block Letter - C),True
harry's razors for men,"Gillette Fusion5 Razors for Men, 1 Gillette Razor, 4 Razor Blade Refills, Lubrastrip for a More Comfortable Shave",True
harry's razors for men,"Schick Hydro Skin Comfort Sensitive 5 Blade Razor for Men, 1 Handle and 5 Refills",True
harry's razors for men,Harry's Men's Razor with 2ct Blade Cartridges - Nocturnal Black (Exclusive),False
harry's razors for men,"Harry's Razors for Men - Men's Razor Set with 5 Razor Blade Refills, Travel Blade Cover, 2 oz Shave Gel (Bright Orange)",False
kaz wf-813 filter,HIFROM Humidifier Wick Filters Compatible with ReliOn WF813 RCM-832 RCM832 RCM-832N DH-832 Duracraft DH-830 Robitussin DH832 Honeywell HC832 Humidifier - 6pcs,True
kaz wf-813 filter,KingBra 4Pcs Humidifier Wicking Filters Replacement Filter Compatible with Relion WF813 ReliOn RCM-832,True
kaz wf-813 filter,RJMom 12 Pack - Humidifier Filter for Kaz WF-813,True
kaz wf-813 filter,(2-Packs) Humidifier Filter Suitable Kaz Wf-813,False
11cu refrigerator without freezer,"TECCPO Mini Fridge TAMF33, 4.5 Cu.Ft Mini Fridge with Freezer, Energy Star, Auto Defrost, Super Quiet, Small Refrigerator for Dorm, Bedroom",False
11cu refrigerator without freezer,"Mini Fridge, TECCPO 1.7 Cu.Ft. Small Refrigerator, Energy Star, 6 Adjustable Thermostat Control, One-touch Easy Defrost, 37 dB, Compact Refrigerator for Bedroom, Dorm, Office - TAMF30",False
11cu refrigerator without freezer,"F40C4TMP 12 Volt Car Fridge, 30 Quart (28L) Portable Refrigerator, (-7.6℉~50℉) Compressor Freezer with 12/24V DC & 110-240V AC, For Truck, Vehicles, RV, Road Trip, Camping, Outdoor, Room, Home",False
11cu refrigerator without freezer,"Galanz GLR33MBER10 Retro Compact Refrigerator, Single Door Fridge, Adjustable Mechanical Thermostat with Chiller, Blue, 3.3 Cu Ft",False
ford logo seat covers,"Motor Trend Gray Cloth Car Seat Covers for Front Seats – Premium Automotive Bucket Seat Covers, Made for Vehicles with Removable Headrests, Interior Accessories for Car Truck Van SUV",True
ford logo seat covers,"BDK Forza Series Light Gray Seat Covers Full Set Combo with Car Floor Mats – Front and Rear Bench Seat Cover & Floor Mat Protector Set, Interior Accessories for Auto Truck Van SUV",True
ford logo seat covers,Plasticolor 008625R01 Ford Deluxe Seat Cover Embrodired Logo High Contrast Stitching Premium 3 Piece Sideless Car Truck or SUV Seatcover with Cargo Pocket,True
ford logo seat covers,Seat Armour KAFORX10-15 Custom Fit Officially Licensed Center Console Cover with Ford Embroidered Logo for Select Ford Explorer Models - (Black),False
fire hd 10 tablet,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",False
fire hd 10 tablet,"Fire HD 8 Plus tablet, HD display, 32 GB, latest model (2020 release), our best 8"" tablet for portable entertainment, Slate",True
fire hd 10 tablet,"Kid-Proof Case for Fire HD 10 Tablet (Compatible with 7th and 9th Generations, 2017 and 2019 Releases), Pink",False
fire hd 10 tablet,"Amazon Fire HD 10 Tablet Case, Charcoal Black",False
nike air griffey,Nike Air More Uptempo '96 Obsidian/White,True
nike air griffey,Nike Air Penny IV,True
nike air griffey,Nike Air Mens Griffey Max 1 Sneakers - 8 D(M) US- Flax/Flax/Sail,False
nike air griffey,Nike Air Mens Griffey Max 1 Sneakers - 9.5- Flax/Flax/Sail,False
ipad pro 12.9,"(Refurbished) Apple iPad Pro (11-inch, Wi-Fi, 64GB) - Space Gray (2018)",True
ipad pro 12.9,"Apple iPad Pro (11-inch, Wi-Fi, 1TB) - Space Gray (1st Generation)",True
ipad pro 12.9,"Apple iPad Pro 12.9-inch, 3rd Generation - Wi-Fi, 256GB - Space Gray (Renewed)",False
ipad pro 12.9,"Apple iPad Pro 12.9-inch, Wi-Fi, 3rd Generation 64GB - Space Gray(Renewed)",False
arturia audiofuse studio,Arturia DAW Controller (230511),False
arturia audiofuse studio,Arturia DAW Controller (230512),False
arturia audiofuse studio,Arturia AudioFuse Advanced Audio Interface,True
arturia audiofuse studio,Arturia DAW Controller (230513),False
dan pelligrino glass,"Spindrift Grapefruit Sparkling Water, 12 Fl. Oz. Cans (Pack of 8)",False
dan pelligrino glass,"Saratoga Sparkling Spring Water, 12oz Cobalt Blue Glass Bottle (Pack of 6, Total of 72 Fl Oz)",True
dan pelligrino glass,"San Pellegrino Chinotto Sparkling Citrus Flavoured Beverage, 6.75 Oz Glass Bottle (Pack of 12, Total of 81 Oz)",False
logictech spot light presentaion,"Presentation Clicker, Doosl Digital Highlighting Wireless Presenter Clicker （Need Upload Software） Magnify Pointer Digital Pointer Mouse for Laptop presentations PowerPoint,MAC (Digital)",True
logictech spot light presentaion,"Presentation Remote, Doosl Digital Highlighting Wireless Presenter Clicker Magnify Pointer Digital Pointer Mouse with LCD Timer，Clicker for Laptop presentations",True
logictech spot light presentaion,Logitech Spotlight Presentation Remote Pointer (Slate) w/Deco Gear Accessories Bundle,False
logictech spot light presentaion,Logitech Spotlight Presentation Remote (Slate) with Knox 3.0 4-Port USB HUB Bundle,False
colorado door handle,FAERSI Outside Exterior Door Handle Rear Textured Tailgate Handle Replacement for 2004 2005 2006 2007 2008 2009 2010 2011 2012 Colorado GMC Canyon 2006 2007 2008 Isuzu i-290 i-370 i-280,True
colorado door handle,"PT Auto Warehouse GM-3561A-FPK - Outside Exterior Outer Door Handle, Textured Black - Front Left/Right Pair",True
colorado door handle,Exterior Door Handle Textured Black - Rear Driver Left - Fits Colorado Canyon,False
colorado door handle,AUTOMUTO Exterior Front Passenger Side Door Handle Compatible for 2004-2012 for Chevrolet Colorado for GMC Canyon Black,True
montclair state university,New Jersey the Garden State Souvenir Hoodie Sweatshirt Women Men,False
montclair state university,OCM Diploma Frames | Montclair State University Red Hawk | Displays Diploma Certificate 8.5 x 11 | Home Office & Office Professional | Education Framed Diploma | Graduation Gifts | Custom Frame,False
montclair state university,Montclair State 1908 University Apparel - T shirt,False
lenovo ideapad 2in1,"Lenovo IdeaPad Flex 5 14"" Convertible Laptop, FHD (1920 x 1080) Touch Display, Intel Core i5-1035G1 Processor, 8GB DDR4 Onboard RAM, 128GB SSD, Intel UHD Graphics, Win 10, 81X1004RUS, Graphite Grey",True
lenovo ideapad 2in1,"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",True
lenovo ideapad 2in1,"Lenovo IdeaPad Flex-15IML 15&quot; Full HD Touchscreen Notebook Computer, Intel Core i7-10510U 1.8GHz, 16GB RAM, 512GB SSD, NVIDIA GeForce MX230 2GB, Windows 10 Home - Refurbished",True
lenovo ideapad 2in1,"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",False
bose karaoke system,"KaraoKing Karaoke Machine for Kids & Adults Wireless Microphone Speaker with Disco Ball, 2 Wireless Bluetooth Microphones & Phone/Tablet Holder - Karaoke Bluetooth Toys for Kids (G100)",False
bose karaoke system,"GTD Audio 2x100 Adjustable Channels UHF Wireless Cordless Handheld Microphone Mic System Ideal for Church, Karaoke, Dj Party, Range 400 ft,",False
bose karaoke system,"Bose Noise Cancelling Headphones 700, Bluetooth, Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Black",False
bose karaoke system,"Bose L1 Pro8 - Portable PA System, Portable Line Array Speaker with Integrated Bluetooth, Built-in Mixer and Wireless App Control",False
aquaclear 50 carbon,"AquaClear 110 Activated Carbon Insert, Aquarium Filter Replacement Media, A622",False
aquaclear 50 carbon,"Aqua Clear A623 Foam Insert , White,110",False
aquaclear 50 carbon,"AquaClear 50 Activated Carbon Inserts, Aquarium Filter Replacement Media, 3-Pack, A1384",False
aquaclear 50 carbon,(3 Pack) AquaClear 50 Foam Filter,False
maisto 1/18 stingray corvette,"Maisto Chevy Diecast Car & Gas Pump Package - 2014 Chevy Corvette Stingray Police, Matte Black 36212P - 1/18 Scale Diecast Model Toy Car w/Gas Pump",True
maisto 1/18 stingray corvette,Maisto New 1:24 Display Special Edition - Candy RED 1970 Chevrolet Corvette Stingray Diecast Model Car,True
maisto 1/18 stingray corvette,2014 C7 Chevy Corvette Stingray 1/18 Red by Maisto,False
maisto 1/18 stingray corvette,Maisto 1:18 Special Edition - 1965 Chevrolet Corvette,False
smith sunglasses for men,"Oakley Men's OO9417 Holbrook XL Square Sunglasses, Matte Black/Warm Grey, 59 mm",True
smith sunglasses for men,Suncloud Rambler Polarized Sunglasses,True
smith sunglasses for men,Smith Basecamp Sunglasses Matte Gravy/ChromaPop Polarized Bronze Mirror,False
smith sunglasses for men,"Parallel Max 2 Carbonic Polarized Sunglasses, Black / Carbonic Polarized Gray / Ignitor, Smith Optics Parallel Max 2 Carbonic Polarized Sunglasses",False
yamaha vstar back rest,Bakup Fully Adjustable Standard Driver Backrests for 2007-2009 Yamaha XVS1300 V - One Size,True
yamaha vstar back rest,Backrest Sissy Bar+ Luggage Rack For Yamaha V Star DS 400 650 XVS650 Custom drag star Black,True
yamaha vstar back rest,Passenger Backrest Sissy Bar Pad For Yamaha V Star DS 400 650 XVS650A Classic drag star,True
t1-84 texas instrument,Texas Instruments TI-83 Plus Graphing Calculator,True
t1-84 texas instrument,Texas Instruments TI-84 Plus Graphing Calculator + Guerrilla Zipper Case + Essential Graphing Calculator Accessory Kit (Black),False
t1-84 texas instrument,Texas Instruments TI-84 Plus Silver Edition Graphing Calculator (Renewed),False
lamy dark lilac ink,"Lamy Safari Fountain Pen, Medium Nib + 5 Black Ink Cartridges (Matte Black)",False
lamy dark lilac ink,Lamy Safari Fountain Pen (19F) White + 5 Black Ink Cartridges,False
lamy dark lilac ink,LAMY AL-Star Fountain Pen (29F) Black Purple + 5 Black Ink Cartridges,False
lamy dark lilac ink,Lamy Safari Fountain Pen (M) Umber + 5 Black Ink Cartridges,False
yankee candle tarts,"Yankee Candle Fragrance Spheres, Sage & Citrus",False
yankee candle tarts,Yankee Candle Large Jar Candle Balsam & Cedar,False
yankee candle tarts,"Yankee Candle Fresh and Floral Collection Scented Tarts Wax Melts - Set of 10 - Clean Cotton, Lemon Lavender, Flowers in The Sun, Mediterranean Breeze, and French Countryside (2 of Each)",False
yankee candle tarts,Yankee Candle Lot of 6 White Gardenia Tarts Wax Melts,False
yamaha slide oil,Monster Trombone Slide Cream Lubricant | Take Better Care of your Instrument,True
yamaha slide oil,"Monster Trombone Care and Cleaning Kit | Slide Cream, Slide Grease, Mouthpiece Brush. Everything You Need to Take Care of and Clean Your Trombone",True
yamaha slide oil,Yamaha Trombone Cleaning and Care Product (YACSLMKIT),False
yamaha slide oil,Yamaha YACTSO Trumpet Tuning Slide Oil,False
revlon ionic hair dryer,REVLON 1875W 3-in-1 Styling Hatchet Hair Dryer,True
revlon ionic hair dryer,"REVLON One-Step Hair Dryer And Volumizer Hot Air Brush, Black",False
revlon ionic hair dryer,Revlon 1875W Titanium Hair Dryer,True
revlon ionic hair dryer,"REVLON 1875 Watts Infrared Heat Hair Dryer for Max Drying Power, White",True
harris swivel bipod 6-9,"Harris Bipod HB25CS extends from 13 1/2"" to 27"" Swivels (tilts)",True
harris swivel bipod 6-9,"HBLS Harris Bipod extends from 9"" to 13"" swivels to compensate for Uneven Terrain",True
harris swivel bipod 6-9,CVLIFE 6-9 Inches Picatinny Bipod Adjustable Spring Return with Picatinny Adapter,True
harris swivel bipod 6-9,"Harris Bipods BRMS, extends from 6"" to 9"" Swivels (tilts), Notched Legs Spring Loaded",False
national geographic sierra map,National Geographic: Pacific Crest Trail Wall Map Wall Map - Laminated (18 x 48 inches) (National Geographic Reference Map),True
national geographic sierra map,Sierra Nevada Trail Map Collection [boxed set] (National Geographic Trails Illustrated Map),True
national geographic sierra map,Sequoia/Kings Canyon National Park Adventure Set: Trail Map & Wildlife Guide,False
national geographic sierra map,"Pacific Crest Trail: Sierra Nevada South [Devil's Postpile to Walker Pass] (National Geographic Topographic Map Guide, 1009)",False
betty crocker cookies mix,"Krusteaz Bakery Style Cookie Mix, 14- Boxes, Butter Vanilla Sugar, 168 Oz (Pack of 12)",True
betty crocker cookies mix,"Betty Crocker Limited Edition Salted Caramel Cookie Mix, Package of 2",False
betty crocker cookies mix,"Betty Crocker Baking Mix, Peanut Butter Cookie Mix, 17.5 Oz Pouch",False
mens reebok shorts,"G Gradual Men's 7"" Workout Running Shorts Quick Dry Lightweight Gym Shorts with Zip Pockets (White Large)",True
mens reebok shorts,"Mens Quick Dry Fit Dri-Fit Active Wear Athletic Performance Basketball Tennis Soccer Running Essentials Gym Casual Workout Tech Shorts-Set 6,Large",True
mens reebok shorts,"Reebok Workout Ready Knit Short, Legacy Red, XL",False
mens reebok shorts,"Reebok Training Supply Epic Short, Black, XL",False
dr johns bathroom,Uncle John's Actual and Factual Bathroom Reader (31) (Uncle John's Bathroom Reader Annual),False
samsung notebook 9 pro,"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 256GB SSD(Latest Model) – Matte Black (PUV-00016)",True
samsung notebook 9 pro,"Samsung Notebook 9 15"" FHD Intel i7-7500U 3.5GHz 8GB 256GB SSD Webcam Bluetooth Windows 10 Iron Silver",True
samsung notebook 9 pro,2021 Samsung_Notebook 9 Pro 13 FHD 1080P Touchscreen 2-in-1 Laptop| Intel Core i7-8565U up to 4.6GHz| 8GB RAM| 512GB SSD| FP Reader| Backlit KB| Win 10 + NexiGo 128GB MicroSD Card Bundle,False
samsung notebook 9 pro,"Samsung Notebook 9 Pro 2-in-1 2020 Premium Laptop, 13.3"" Full HD Touchscreen, 8th Gen Intel Quad-Core i7-8565U, 16GB DDR4 512GB SSD, Thunderbolt Backlit KB Fingerprint Win 10 + USB C Toggle",False
hamilton beach toaster oven,"Toaster Oven 4 Slice, Multi-function Stainless Steel Finish with Timer - Toast - Bake - Broil Settings, Natural Convection - 1100 Watts of Power, Includes Baking Pan and Rack by Mueller Austria",True
hamilton beach toaster oven,"BLACK+DECKER TO1785SG Crisp N Bake Air Fry Toaster Oven, 4-Slice, Gray",True
hamilton beach toaster oven,"Hamilton Beach 2-in-1 Countertop Oven and 2-Slice Toaster with Extra Wide Slot, Shade Selector, Baking Pan Included, Red (22724)",False
