focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
sympathetic ophthalmia,panuveitis,True,"A panuveitis that is characterized by bilateral diffuse intraocular inflammation following penetrating trauma to an eye, has symptom blurry vision, watering, pain, and photophobia.","An uveitis that is characterized by inflammation of all layers of the uvea (middle layer) of the eye, which includes the iris, ciliary body, and choroid."
Henoch-Schoenlein purpura,hypersensitivity vasculitis,True,"A hypersensitivity vasculitis that is characterized by purpura (purplish plaques), arthralgia, gastrointestinal upset, and/or glomerulonephritis, and may be related to increased immune response following an infection.","A hypersensitivity reaction type III disease that is characterized by inflammation and injury to blood vessels and has symptom purpura, telangiectasia, blistering, urticaria, and ulcers."
hereditary multiple exostoses,exostosis,True,"An exostosis that has material basis in a mutation on the genes EXT1, EXT2 and EXT3 which results in multiple bony spurs throughout a child's growth.",A hyperostosis that involves formation of new bone on the surface of preexisting bone.
invasive aspergillosis,lung disease,True,"An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.","A lower respiratory tract disease in which the function of the lungs is adversely affected by narrowing or blockage of the airways resulting in poor air flow, a loss of elasticity in the lungs that produces a decrease in the total volume of air that the lungs are able to hold, and clotting, scarring, or inflammation of the blood vessels that affect the ability of the lungs to take up oxygen and to release carbon dioxide."
splenic marginal zone lymphoma,bone marrow cancer,True,A marginal zone B-cell lymphocyte located in the spleen comprised of B-cells in place of white pulp.,A hematopoietic cancer that derives from the blood-forming stem cells of the bone marrow.
nephrotic syndrome,nephrosis,True,"A nephrosis characterized by marked increase in glomerular protein permeability resulting in marked elevation of urine protein levels, hypoalbuminemia, hyperlipidemia, and hypercoagulability.","A proteinuria that is characterized by the leaking of blood protein into the urine, swelling or edema, and degenerative lesions without inflammation."
muscle cancer,muscular disease,True,A musculoskeletal system cancer that is located in muscle.,A musculoskeletal system disease that affects the muscles.
Rett syndrome,pervasive developmental disorder,True,"A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development, loss of purposeful use of the hands, distinctive hand movements, slowed brain and head growth, problems with walking, seizures, and intellectual disability.","A developmental disorder of mental health that refers to a group of five disorders characterized by impairments in socialization and communication, as well as restricted interests and repetitive behaviors."
Rh deficiency syndrome,hemolytic anemia,True,"A hemolytic anemia that is characterized by deficiency of Rh antigens, has material basis in homozygous or compound heterozygous mutation in the RHAG gene on chromosome 6p12.",A normocytic anemia that is characterized by the rate of descruction of red blood cells exceeding the rate than they can be made.
atypical hemolytic-uremic syndrome,complement deficiency,True,"A complement deficiency that is characterized by mechanical hemolytic anemia, thrombocytopenia, and renal dysfunction.","A primary immunodeficiency disease that is the result in a mutation of a gene encoding one of the thirty complement system proteins, produced predominantly in liver, which function to defend against infection and produce inflammation."
"neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties",diphthamide deficiency syndrome,True,"An diphthamide deficiency syndrome characterized by distinct craniofacial features, multisystem dysfunction, profound neurodevelopmental delays, and neonatal death that has material basis in homozygous or compound heterozygous mutation in the DPH5 gene on chromosome 1p21.2.","An inherited metabolic disorder characterized by global developmental delay, short stature, dysmorphic craniofacial features, and sparse hair that has material basis in deficient diphthamidylation of the eukaryotic translation Elongation Factor 2 protein (gene: EEF2)."
sphingolipidosis,lipid storage disease,True,A lipid storage disease characterized by functional deficiencies in the enzymes needed for lysosomal degradation of sphingolipid substrates.,A lysosomal storage disease that involves the accumulation of harmful amounts of lipids (fats) in some of the body's cells and tissues.
male infertility due to acephalic spermatozoa,spermatogenic failure,True,A spermatogenic failure characterized by male infertility caused by a majority of spermatozoa lacking heads.,A male infertility characterized by disruption of the process of sperm development from diploid cells into mature haploid spermatozoa.
Bamforth-Lazarus syndrome,hypothyroidism,True,"A hypothyroidism that is characterized by thyroid dysgenesis, cleft palate, spiky hair and bifid epiglottis, has material basis in homozygous mutation in the FKHL15 gene on chromosome 9q22.",A thyroid gland disease which involves an underproduction of thyroid hormone.
dominant pericentral pigmentary retinopathy,retinitis pigmentosa,True,A retinitis pigmentosa that is characterized pigmentary retinal degeneration with onset in the teens leading to blindness in the sixth ans seventh decades of life.,A retinal degeneration characterized by the gradual deterioration of the photoreceptors or the retinal pigment epithelium of the retina leading to progressive sight loss.
lymphomatoid granulomatosis,lymphoproliferative syndrome,True,A lymphoproliferative syndrome that is characterized by overproduction (proliferation) of white blood cells called lymphocytes. The abnormal cells infiltrate and accumulate (form lesions or nodules) within tissues. The lesions or nodules damage or destroy the blood vessels within these tissues.,"A primary immunodeficiency disease characterized by immune dysregulation typically after viral infection, usually associated with Epstein-Barr viral infection."
paraganglioma,pheochromocytoma,True,A pheochromocytoma that arises in extraadrenal sympathetic ganglia.,"An endocrine organ benign neoplasm that arises within the adrenal medulla, releasing epinephrines and norepinephrines hormones that cause either episodic or persistent high blood pressure."
autoimmune pancreatitis,pancreas disease,True,An autoimmune disease of endocrine system that is located in the pancreas.,An endocrine system disease that is located in the pancreas.
pulmonary eosinophilia,hypereosinophilic syndrome,True,A hypereosinophilic syndrome characterized by the accumulation of eosinophils in the lungs.,"A leukocyte disease that is characterized by high numbers of eosinophils which over time enter various tissues, eventually damaging organs."
glioblastoma,malignant astrocytoma,True,"A malignant astrocytoma characterized by the presence of small areas of necrotizing tissue that is surrounded by anaplastic cells as well as the presence of hyperplastic blood vessels, and that has material basis in abnormally proliferating cells derives from multiple cell types including astrocytes and oligondroctyes.","A malignant glioma that is has material basis in astrocyte cells, a type of star-shaped glial cell, located in the brain and spinal cord."
Norman-Roberts syndrome,lissencephaly,True,A lissencephaly that has material basis in homozygous mutation in the gene encoding reelin (RELN) on chromosome 7q22.,A congenital nervous system abnormality characterized by the absence of folds in the cerebral cortex and caused by defective neuronal migration during the 12th to 24th weeks of gestation.
myocarditis,extrinsic cardiomyopathy,True,An extrinsic cardiomyopathy that is characterized as an inflammation of the heart muscle.,A cardiomyopathy that is characterized by the pathology occurring outside of the myocardium.
Ogden syndrome,X-linked monogenic disease,True,"A syndrome characterized by postnatal growth failure, severely delayed psychomotor development, variable dysmorphic features, and hypotonia and has material basis in X-linked recessive or X-linked dominant mutation in the NAA10 gene on chromosome Xq28.",A monogenic disease that has material basis in mutations in genes on the X chromosome.
strabismus,hyperopia,True,A hyperopia that is characterized by eyes that do not properly align with each other when looking at an object.,"A refractive error that is characterized by rays of light entering the eye parallel to the optic axis are brought to a focus behind the retina, as a result of the eyeball being too short from front to back."
hypogonadism,gonadal disease,True,A gonadal disease that is characterized by diminished functional activity of the gonads.,An endocrine system disease that is located in the gonads.
ectothrix infectious disease,tinea capitis,True,"A tinea capitis that results in fungal infection located in cuticle of hair, has material basis in Microsporum canis, has material basis in Microsporum gypseum, has material basis in Trichophyton equinum, and has material basis in Trichophyton verrucosum, which produce arthroconidia on the exterior of the hair shaft.","A dermatophytosis that results in contagious fungal infection located in scalp, located in hair of head, located in eyebrow or located in eyelash, has material basis in Ascomycota fungi that belong to a group called dermatophytes and has symptom itching of the scalp, has symptom pus filled lesions on the scalp, and has symptom patches of hair loss, sometimes with a 'black dot' pattern."
physical disorder,disease,True,"A disease that has material basis in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment.",A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.
flat ductal epithelial atypia,breast intraductal proliferative lesion,True,A breast intraductal proliferative lesion that is characterized by columnar cell changes with cytologic atypia.,"An intraductal breast benign neoplasm that is characterized by an increase in the number of cells perpendicular to the basement membrane resulting in total alteration and distension of the normal unit structure of the breast. It is confined to the duct-lobular system, originates from the terminal duct-lobular unit and displays different cytological and architectural patterns of proliferation."
myasthenia gravis,autoimmune disease of the nervous system,True,"An autoimmune disease of the nervous system that has material basis in antibodies to acetylcholine receptors at the neuromuscular junction, has symptom ptosis, has symptom diplopia, has symptom dysphagia, has symptom dysarthria, has symptom muscle weakness and has symptom shortness of breath.",An autoimmune disease affecting the nervous system.
myocardial infarction,coronary artery disease,True,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.
hereditary alpha tryptasemia syndrome,gene duplication disease,True,"A syndrome that is characterized by high blood tryptase levels and that has material basis in inherited extra copies of the alpha tryptase gene (TPSAB1), effecting multiple organ systems including skin and connective tissues, the gastrointestinal and cardiovascular systems.",A monogenic disease that is the result of a mutation that involves the production of one or more copies of a gene.
hypopituitarism,pituitary gland disease,True,A pituitary gland disease characterized by the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland.,An endocrine system disease that is located in the pituitary gland.
ring chromosome syndrome,chromosomal disease,True,A chromosomal disease that has material basis in chromosome fusion into a ring or ring-like structure. Ring chromosome syndrome phenotypes are inherently variable.,"A genetic disease that has material basis in extra, missing, or re-arranged chromosomes."
human granulocytic anaplasmosis,ehrlichiosis,True,"An ehrlichiosis that results in infection located in granular leukocyte, has material basis in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.","A primary bacterial infectious disease that results in infection located in leukocyte, has material basis in Ehrlichia chaffeensis or Anaplasma phagocytophilum, which are transmitted by lone star tick and transmitted by black-legged tick respectively. The infection has symptom headache, has symptom muscle aches, has symptom fatigue and has symptom rash."
Trichomonas vaginalis trichomoniasis,vaginal disease,True,"A trichomoniasis that involves infection of the urogenital tract, has material basis in Trichomonas vaginalis, which is transmitted through sexual contact. Symptoms include inflammation of the cervix, urethra and vagina which produce an itching or burning sensation, and yellow-green, itchy, frothy foul-smelling vaginal discharge.",A female reproductive system disease that is located in the vagina.
nonsyndromic deafness,auditory system disease,True,"An auditory system disease that is associated with permanent hearing loss caused by damage to structures in the inner ear and/or the middle ear, which is not associated with other signs and symptoms.",A sensory system disease that is characterized by auditory dysfunction located in the auditory system.
hereditary Wilms' tumor,nephroblastoma,True,A nephroblastoma that results in either bilateral disease or a family history of Wilms' tumour.,A kidney cancer that affects the kidneys and typically occuring in children.
conjunctivitis,conjunctival disease,True,"A conjunctival disease characterized by an inflammation of the conjunctiva, the outermost layer of the eye and the inner surface of the eyelids.","An eye disease affecting the conjunctiva, which is the mucous membrane surrounding the eye and interior of the eyelids."
juvenile myelomonocytic leukemia,myelodysplastic/myeloproliferative neoplasm,True,A myelodysplastic/myeloproliferative neoplasm that is characterized by the uncontrolled growth of monocytes.,A myeloid neoplasm that results in the overproduction of white blood cells.
deafness-dystonia-optic neuronopathy syndrome,mitochondrial metabolism disease,True,"A mitochondrial metabolism disease that is characterized by hearing loss that begins early in life, problems with movement, impaired vision, and behavior problems, and has material basis in mutations in the TIMM8A gene resulting in abnormal protein transport within the mitochondria.",An inherited metabolic disorder that involves mitochondrial metabolism dysfunction.
chest wall lipoma,thoracic benign neoplasm,True,A thoracic benign neoplasm that derives from fat cells and is located in the chest wall.,An organ system benign neoplam that is located in the thoracic cavity.
endometrial hyperplasia,uterine benign neoplasm,True,An uterine benign neoplasm that is characterized by excessive proliferation of the cells of the endometrium.,A female reproductive organ benign neoplasm that is located in the uterus.
autoimmune cardiomyopathy,heart disease,True,An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.,A cardiovascular system disease that involves the heart.
xanthinuria,purine-pyrimidine metabolic disorder,True,"A purine-pyrimidine metabolic disorder characterized by deficiency of xanthine oxidase, resulting in excretion of large amounts of xanthine in the urine and the formation of xanthine stones.",An inherited metabolic disorder involving dysfunction of purine and pyrimidine metabolism.
hematologic cancer,hematopoietic system disease,True,"An organ system cancer located in the hematological system that is characterized by uncontrolled cellular proliferation in blood, bone marrow and lymph nodes.",A disease of anatomical entity that has material basis in hematopoietic cells.
cystitis,bladder disease,True,A bladder disease that is characterized by inflammation of the bladder.,A urinary system disease that is located in the bladder.
Caroli syndrome,hepatic vascular disease,True,A syndrome that is characterized by the presence of associated congenital hepatic fibrosis and that is associated with autosomal recessive polycystic kidney disease.,A vascular disease that is located in the liver.
congenital chylothorax,pleural disease,True,"A pleural disease characterized by the accumulation of chyle within the pleural space leading to respiratory distress, malnutrition and immunological compromise, either immediately after birth or within the first few weeks of life.","A thoracic disease which may involve inflammation of pleura, collection of air within the pleural cavity, abnormal collection of pleural fluid, abnormal growths on the pleura (pleural tumor) and pleural plaques. The main causes of pleural diseases including pleural effusions are congestive heart failure, malignancy, parapneumonic infections and pulmonary embolism."
impotence,sexual dysfunction,True,A sexual dysfunction that is characterized by persistent or recurrent inability to achieve or to maintain an erection during sexual activity.,A male reproductive system disease that is characterized by disturbances in sexual desire or performance.
Unverricht-Lundborg syndrome,progressive myoclonus epilepsy,True,"A progressive myoclonus epilepsy characterized by onset between 6 and 13 years of age of action- and stimulus-sensitive myoclonus, tonic-clonic seizures with ataxia, and a mild cognitive decline.",A variable age at onset electroclinical syndrome characterized by a relentlessly progressive disease course until death.
"diffuse low-grade glioma, MAPK pathway–altered",low grade glioma,True,"A low grade glioma that is characterized by a gene alteration that results in a MAPK pathway abnormality, with morphological features of astrocytoma or oligodendroglioma.","A cell type benign neoplasm that has material basis in glial cells (astrocytes, oligodendrocytes or ependymocytes)."
hyperekplexia,nervous system disease,True,"A nervous system disease characterized by an exaggerated startle response to sudden, unexpected auditory or tactile stimuli and hypertonia.",A disease of anatomical entity that is located in the central nervous system or located in the peripheral nervous system.
gender incongruence,sexual health disorder,True,A sexual health disorder that involves a conflict between a person's actual physical gender and the gender that person identifies himself or herself as.,A disease of mental health that involves the impairment in normal sexual functioning.
Sly syndrome,mucopolysaccharidosis,True,A mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme beta-glucuronidase resulting in the inability to degrade glucuronic acid-containing glycosaminoglycans.,A lysosomal storage disease that involves the accumulation of glycosaminoglycans in the tissues and their excretion in the urine.
acute allergic mucoid otitis media,blue drum syndrome,True,A blue drum syndrome caused by an allergen.,"A acute transudative otitis media involving thick, viscid and mucuslike fluid effusion due to which the drum appears blue in color."
exfoliation syndrome,phacogenic glaucoma,True,"A phacogenic glaucoma that is characterized by open-angle glaucoma related to deposition of extracellular fibrillar material in anterior segment structures, which blocks aqueous fluid outflow, raises intraocular pressure, and leads to eventual optic nerve atrophy and visual field loss. Exfoliation syndrome has symptom progressive decreased vision, especially peripheral vision. Exfoliation syndrome is caused by age-related deposition of fibrillar material in anterior segment structures.","A glaucoma characterized by glaucomatous optic atrophy secondary to a lens abnormality and has symptom progressive decreased vision, especially decreased peripheral vision. Phacogenic glaucoma can be caused by cataracts, trauma to the eye, or age-related damage that obstructs aqueous outflow, leading to inappropriately increased intraocular pressure and eventual optic nerve atrophy with associated vision loss."
familial glucocorticoid deficiency,adrenal gland disease,True,An adrenal cortex disease that is characterized by insufficient production of glucocorticoids.,An endocrine system disease that is located in the adrenal gland.
pancreatic carcinoma,malignant exocrine pancreas neoplasm,True,A pancreas cancer that derives from epithelial cells located in the exocrine pancreas.,A pancreatic cancer that arises from the epithelial cells of the exocrine pancreatic tissue.
dry eye syndrome,lacrimal apparatus disease,True,A lacrimal apparatus disease that is characterized by persistent irritation or burning of the coreneal surface.,An eye disease that affects the lacrimal apparatus (the lacrimal gland and its related structures) which moisten and drain the eye.
Dravet syndrome,developmental and epileptic encephalopathy,True,A developmental and epileptic encephalopathy characterized by onset of seizures that are usually refractory to treatment in the first year of life after normal early development and impaired psychomoter development starting around the second year of life that has material basis in heterozygous mutation in the SCN1A gene on chromosome 2q24.,An electroclinical syndrome characterized by epileptiform activity and at least one other pathology that together contribute to cognitive and behavioral impairments including developmental delay or regression with onset anywhere from birth to adulthood.
eclampsia,pre-eclampsia,True,A pre-eclampsia characterized by the presence of seizures.,"A hypertension occurring during pregnancy characterized by large amounts of protein in the urine (proteinuria) and edema, usually by the last trimester of pregnancy."
anti-basement membrane glomerulonephritis,Goodpasture syndrome,True,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,"An autoimmune disease that is characterized by antibody attack of the basement membrane in lungs and kidneys, leading to bleeding from the lungs and kidney failure."
scleroderma,rheumatic disease,True,"A rheumatic disease that involves the abnormal growth of connective tissue, which supports the skin and internal organs.","A musculoskeletal system disease that involves inflammation or pain in the muscles, joints, or fibrous tissue."
glomerulonephritis,nephritis,True,A nephritis that causes inflammation of the glomeruli located in kidney.,A kidney disease that is characterized by an inflammation of the kidneys.
setariasis,filariasis,True,"A filariasis that involves parasitic infection of the abdomen in cattle, horses and sheep by nematodes of the genus Setaria.",A parasitic helminthiasis infectious disease that involves parasitic infection of the lymphatics and subcutaneous tissue by nematodes of the superfamily Filarioidea.
pituicytoma,posterior pituitary gland neoplasm,True,"A posterior pituitary gland neoplasm that is characterized by the presence of elongated, spindle-shaped neoplastic glial cells that form storiform patterns or interlacing fascicular arrangements.",A pituitary gland benign neoplasm that arises from the neurohypophysis.
recurrent hypersomnia,sleep disorder,True,A sleep disorder that involves recurring bouts of excessive amounts of sleepiness.,A disease of mental health that involves disruption of sleep patterns.
trichotillomania,impulse control disorder,True,An impulse control disorder that involves the uncontrollable plucking of ones hair.,A disease of mental health that involves a failure to resist an impulsive act or behaviour that may be harmful to self or others.
pelvic muscle wasting,prolapse of female genital organ,True,"A prolapse of female genital organ that is characterized by a decrease in muscle mass and tissue in the pelvic floor, vagina, vulva and urinary tract due to aging, menopause and its subsequent reduction of estrogen, or a combination of the two.","A female reproductive system disease that is characterized by the descent of one or more of the pelvic structures (bladder, uterus, vagina) from the normal anatomic location toward or through the vaginal opening."
dyslexia,reading disorder,True,A reading disorder resulting from a developmental reading disability involving the inability to process graphic symbols resulting in impairment of reading ability.,A learning disability involing difficulty reading resulting primarily from neurological factors which affect any part of the reading process.
alcoholic ketoacidosis,metabolic acidosis,True,A metabolic acidosis that is characterized by the buildup of ketones in the blood due to alcohol use. Ketones are a type of acid that form when the body breaks down fat for energy.,An acquired metabolic disease that characterized by excessive production of acid.
polycythemia,bone marrow disease,True,A bone marrow disease characterized by an increased number of red blood cells in the bloodstream resulting in thicker blood and reduced blood flow.,A hematopoietic system disease that is located in the bone marrow.
transient global amnesia,amnestic disorder,True,An amnestic disorder that is characterized by temporary but almost total disruption of short-term memory with a range of problems accessing older memories.,"A cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, or loss of the ability to learn new information."
obesity,overnutrition,True,"An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has material basis in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness.","A nutrition disease that is characterized by an excess of a nutritional element, such as a vitamin, mineral, carbohydrate, protein, fat, or general energy content."
cutaneous Paget's disease,skin carcinoma,True,A skin carcinoma that is characterized by infiltration of the skin by neoplastic large cells with abundant pale cytoplasm and large nuclei with prominent nucleoli.,A skin cancer that is located in tissues of the skin and develops from epithelial cells.
paratesticular lipoma,reproductive organ benign neoplasm,True,A reproductive organ benign neoplasm that derives from fat cells located in the paratesticular region.,An organ system benign neoplasm that is located in reproductive system organs.
pleural lipoma,respiratory system benign neoplasm,True,A respiratory system benign neoplasm that derives from fat cells and is located in the pleura.,An organ system benign neoplasm that is located in the respiratory system which extends from the nasal sinuses to the diaphragm.
choledocholithiasis,common bile duct disease,True,A common bile duct disease characterized by the presence of at least one gallstone in the common bile duct.,A bile duct disease that is located in the common bile duct.
Hailey-Hailey disease,pemphigus,True,"A pemphigus that is characterized by recurring blistering most commonly occurring in the folds of the skin, particularly the groin and axillary regions, and has material basis in mutations in the ATP2C1 gene that result in loss of adhesion within the skin. Other sites of the body, such as the neck, perianal, and submammary regions, may likewise be affected.","An autoimmune disease of skin and connective tissue that is characterized by blistering of the outer layer of the skin and mucous membranes (mouth, nose, throat, eyes, and genitals), causing lesions and blisters that are easily ruptured."
absence epilepsy,electroclinical syndrome,True,"An electroclinical syndrome characterized by the occurrence of generalized onset seizures that cause lapses in awareness, begin and end abruptly, typically last only a few seconds and are associated with abnormal spike-wave discharges as seen by electroencephalogram.","An epilepsy syndrome that is a group of clinical entities showing a cluster of electro-clinical characteristics, classified according to age at onset, cognitive and developmental antecedents and consequences, motor and sensory examinations, EEG features, provoking or triggering factors, and patterns of seizure occurrence with respect to sleep."
vulvar squamous tumor,vulva cancer,True,A vulva cancer that has material basis in squamous tissue.,A female reproductive organ cancer that is located in the vulva.
autoimmune uveitis,uveal disease,True,"An autoimmune disease of eyes, ear, nose and throat that is located in the uvea.","An eye disease affecting the uvea, which are the pigmented layers of the eye consisting of the iris, ciliary body, and choroid."
ehrlichiosis,primary bacterial infectious disease,True,"A primary bacterial infectious disease that results in infection located in leukocyte, has material basis in Ehrlichia chaffeensis or Anaplasma phagocytophilum, which are transmitted by lone star tick and transmitted by black-legged tick respectively. The infection has symptom headache, has symptom muscle aches, has symptom fatigue and has symptom rash.","A bacterial infectious disease that results in infection by bacteria as a result of their presence or activity within the normal, healthy host, and their intrinsic virulence is, in part, a necessary consequence of their need to reproduce and spread."
endometritis,endometrial disease,True,An endometrial disease that is characterized by inflammation of the endometrium.,A uterine disease that is located in the endometrium.
intellectual disability,specific developmental disorder,True,"A specific developmental disorder that involves significant limitations both in mental functioning and in adaptive behavior such as communicating, taking care of him or herself, and social skills.",A developmental disorder of mental health that categorizes specific learning disabilities and developmental disorders affecting coordination.
blastic plasmacytoid dendritic cell neoplasm,acute leukemia,True,"An acute leukemia that is derived from the precursors of plasmacytoid dendritic cells, with a high frequency of cutaneous and bone marrow involvement and leukemic dissemination. Skin lesions appearing on the arms, legs, face and neck are the most common BPDCN symptom. Other symptoms include low counts of healthy blood cells and swollen lymph nodes.","A lymphoid leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive, undifferentiated cell with abnormal longevity producing large numbers of white blood cells to be produced and enter the blood stream."
Miyoshi muscular dystrophy,distal myopathy,True,A distal myopathy that is characterized by autosomal recessive inheritance of distal muscle weakness in the upper and lower limbs that spares the intrinsic muscles of the hands and has onset in young adulthood.,A muscular dystrophy that is characterized by predominant weakness and atrophy beginning in the feet and/or hands.
early onset progressive encephalopathy with brain atrophy and thin corpus callosum,autosomal recessive intellectual developmental disorder,True,"An autosomal recessive intellectual developmental disorder characterized by onset at birth or in infancy of developmental delay, intellectual disability, seizures, secondary hypomyelination, cerebral atrophy, and thin corpus callosum that has material basis in homozygous or compound heterozygous mutation in the TBCD gene on chromosome 17q25.",A intellectual disability characterized by an autosomal recessive inheritance pattern.
meningioma,central nervous system cancer,True,A central nervous system cancer that are manifested in the central nervous system and arise from the arachnoid cap cells of the arachnoid villi in the meninges.,A nervous system cancer that is located in the central nervous system.
in situ carcinoma,pre-malignant neoplasm,True,A carcinoma that is an early development defined by the absence of invasion of surrounding tissues.,"A disease of cellular proliferation that results in abnormal growths in the body, which do not invade or destroy the surrounding tissue but, given enough time, will transform into a cancer."
thalassemia,microcytic anemia,True,A microcytic anemia characterized by decreased synthesis of one or more hemoglobin polypeptide chains.,"An anemia that is characterized by a low normal mean corpuscular volume (MCV) (less than 80 fL) and is defined by the presence of small, often hypochromic, red blood cells in a peripheral blood smear."
dental abscess,tooth disease,True,A tooth disease characterized by a localized collection of pus associated with a tooth.,A mouth disease located in the teeth.
histone mutated tumor,high grade glioma,True,A high grade glioma that has material basis in mutations in the genes encoding histones.,A cell type cancer that has material basis in glial cells and is located in brain or located in spine.
atypical teratoid rhabdoid tumor,brain cancer,True,"A brain cancer that is usually located in the brain, but can occur anywhere in the central nervous system.",A central nervous system cancer that is characterized by the growth of abnormal cells in the tissues of the brain.
early onset absence epilepsy,childhood electroclinical syndrome,True,A childhood electroclinical syndrome characterized by the occurrence of typical absence seizures starting between the age of four and ten years.,An electroclinical syndrome with onset in childhood between one and 12 years of age.
dysentery,intestinal infectious disease,True,"An intestinal infectious disease that involves inflammation of the intestines, especially colon, due to chemical irritants, bacteria, protozoa, or parasitic worms, which results in severe diarrhea with passage of mucus and blood.","An intestinal disease that involves intestinal infection that has material basis in viruses, bacteria, fungi and parasites."
electroclinical syndrome,epilepsy,True,"An epilepsy syndrome that is a group of clinical entities showing a cluster of electro-clinical characteristics, classified according to age at onset, cognitive and developmental antecedents and consequences, motor and sensory examinations, EEG features, provoking or triggering factors, and patterns of seizure occurrence with respect to sleep.","A brain disease that is characterized by the occurrance of at least two unprovoked seizures resulting from a persistent epileptogenic abnormality of the brain that is able to spontaneously generate paroxysmal activity and typically manifested by sudden brief episodes of altered or diminished consciousness, involuntary movements, or convulsions."
