focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity,subfield,subfield_definition
The evolution of Red Supergiants to supernova in the LMC cluster NGC 2100,A New Hybrid Technique for Modeling Dense Star Clusters,True,"The mass loss rates of red supergiants (RSGs) govern their evolution towards supernova and dictate the appearance of the resulting explosion. To study how mass-loss rates change with evolution we measure the mass-loss rates (\mdot) and extinctions of 19 red supergiants in the young massive cluster NGC2100 in the Large Magellanic Cloud. By targeting stars in a coeval cluster we can study the mass-loss rate evolution whilst keeping the variables of mass and metallicity fixed. Mass-loss rates were determined by fitting DUSTY models to mid-IR photometry from WISE and Spitzer/IRAC. We find that the \mdot\ in red supergiants increases as the star evolves, and is well described by \mdot\ prescription of de Jager, used widely in stellar evolution calculations. We find the extinction caused by the warm dust is negligible, meaning the warm circumstellar material of the inner wind cannot explain the higher levels of extinction found in the RSGs compared to other cluster stars. We discuss the implications of this work in terms of supernova progenitors and stellar evolution theory. We argue there is little justification for substantially increasing the \mdot\ during the RSG phase, as has been suggested recently in order to explain the absence of high mass Type IIP supernova progenitors. We also argue that an increase in reddening towards the end of the RSG phase, as observed for the two most evolved cluster stars, may provide a solution to the red supergiant problem.","The ""gravitational million-body problem,"" to model the dynamical evolution of a self-gravitating, collisional N-body system with ~10^6 particles over many relaxation times, remains a major challenge in computational astrophysics. Unfortunately, current techniques to model such systems suffer from severe limitations. A direct N-body simulation with more than 10^5 particles can require months or even years to complete, while an orbit-sampling Monte Carlo approach cannot adequately model the dynamics in a dense cluster core, particularly in the presence of many black holes. We have developed a new technique combining the precision of a direct N-body integration with the speed of a Monte Carlo approach. Our Rapid And Precisely Integrated Dynamics code, the RAPID code, statistically models interactions between neighboring stars and stellar binaries while integrating directly the orbits of stars or black holes in the cluster core. This allows us to accurately simulate the dynamics of the black holes in a realistic globular cluster environment without the burdensome N^2 scaling of a full N-body integration. We compare RAPID models of idealized globular clusters to identical models from the direct N-body and Monte Carlo methods. Our tests show that RAPID can reproduce the half-mass radii, core radii, black hole ejection rates, and binary properties of the direct N-body models far more accurately than a standard Monte Carlo integration while remaining significantly faster than a full N-body integration. With this technique, it will be possible to create more realistic models of Milky Way globular clusters with sufficient rapidity to explore the full parameter space of dense stellar clusters.",Astrophysics of Galaxies,"Astrophysics of galaxies focuses on phenomena pertaining to galaxies or the Milky Way. Star clusters, HII regions and planetary nebulae, the interstellar medium, atomic and molecular clouds, dust. Stellar populations. Galactic structure, formation, dynamics. Galactic nuclei, bulges, disks, halo. Active Galactic Nuclei, supermassive black holes, quasars. Gravitational lens systems. The Milky Way and its contents."
Field-enhanced critical parameters in magnetically nanostructured superconductors,Photoemission Evidence for a Remnant Fermi Surface and d-Wave-Like Dispersion in Insulating Ca2CuO2Cl2,True,"Within the phenomenological Ginzburg-Landau theory, we demonstrate the enhancement of superconductivity in a superconducting film, when nanostructured by a lattice of magnetic particles. Arrays of out-of-plane magnetized dots (MDs) extend the critical magnetic field and critical current the sample can sustain, due to the interaction of the vortex-antivortex pairs and surrounding supercurrents induced by the dots and the external flux lines. Depending on the stability of the vortex-antivortex lattice, a peak in the Hext-T boundary is found for applied integer and rational matching fields, which agrees with recent experiments [Lange et al., Phys. Rev. Lett. 90, 197006 (2003)]. Due to compensation of MDs- and Hext-induced currents, we predict the field-shifted jc-Hext characteristics, as was actually realized in previous experiment but not commented on [Morgan and Ketterson, Phys. Rev. Lett. 80, 3614 (1998)].","An angle resolved photoemission study on Ca2CuO2Cl2, a parent compound of high Tc superconductors is reported. Analysis of the electron occupation probability, n(k) from the spectra shows a steep drop in spectral intensity across a contour that is close to the Fermi surface predicted by the band calculation. This analysis reveals a Fermi surface remnant even though Ca2CuO2Cl2 is a Mott insulator. The lowest energy peak exhibits a dispersion with approximately the |cos(kxa)-cos(kya)| form along this remnant Fermi surface. Together with the data from Dy doped Bi2Sr2CaCu2O(8 + delta) these results suggest that this d-wave like dispersion of the insulator is the underlying reason for the pseudo gap in the underdoped regime.",Superconductivity,"Superconductivity in condensed matter physics focuses on the study of materials and phenomena where electrical resistance drops to zero below a certain critical temperature, allowing for the flow of electric current without energy loss. In particular, this includes superconductivity: theory, models, experiment. Superflow in helium."
Liquid ring,Numerical schemes for the coupling of compressible and incompressible fluids in several space dimensions,True,"This article describes the fluid dynamics video for ""Liquid ring"" presented at the 64th Annual Meeting of the APS Division of Fluid Dynamics in Baltimore, Maryland, November 20-22, 2011.","We present a numerical scheme for immiscible two-phase flows with one compressible and one incompressible phase. Special emphasis lies in the discussion of the coupling strategy for compressible and incompressible Euler equations to simulate inviscid liquid-vapour flows. To reduce the computational effort further, we also introduce two approximate coupling strategies. The resulting schemes are compared numerically to a fully compressible scheme and show good agreement with these standard algorithm at lower numerical costs.",Fluid Dynamics,"Fluid dynamics in physics focuses on turbulence, instabilities, incompressible/compressible flows, reacting flows. Aero/hydrodynamics, fluid-structure interactions, acoustics. Biological fluid dynamics, micro/nanofluidics, interfacial phenomena. Complex fluids, suspensions and granular flows, porous media flows. Geophysical flows, thermoconvective and stratified flows. Mathematical and computational methods for fluid dynamics, fluid flow models, experimental techniques."
Chern insulators without band inversion in MoS2 monolayers with 3d adatoms,Intergranular Hotspots: A Molecular Dynamics Study on the Influence of Compressive and Shear Work,True,"Electronic and topological properties of MoS2 monolayers endowed with 3d transition metal (TM) adatoms (V-Fe) are explored by using ab initio methods and k.p models. Without the consideration of the Hubbard U interaction, the V, Cr, and Fe adatoms tend to locate on the top of the Mo atoms, while the most stable site for the Mn atom is at the hollow position of the Mo-S hexagon. After the Hubbard U is applied, the most stable sites of all the systems become the top of the Mo atoms. Chern insulators without band inversion are achieved in these systems. The V and Fe adsorption systems are the best candidates to produce the topological states. The k.p model calculations indicate that these topological states are determined by the TM magnetism, the C3v crystal field from the MoS2 substrate, and the TM atomic spin-orbit coupling (SOC). The special two-meron pseudospin texture is found to contribute to the topology. The apparent difference between the Berry curvatures for the V and Fe adsorption systems are also explored. Our results widen the understanding to the Chern insulators and are helpful for the applications of the MoS2 monolayers in the future electronics and spintronics.","Numerous crystal- and microstructural-level mechanisms are at play in the formation of hotspots, which are known to govern high explosive initiation behavior. Most of these mechanisms, including pore collapse, interfacial friction, and shear banding, involve both compressive and shear work done within the material and have thus far remained difficult to separate. We assess hotspots formed at shocked crystal-crystal interfaces using quasi-1D molecular dynamics simulations that isolate effects due to compression and shear. Two high explosive materials are considered (TATB and PETN) that exhibit distinctly different levels of molecular conformational flexibility and crystal packing anisotropy. Temperature and intra-molecular strain energy localization in the hotspot is assessed through parametric variation of the crystal orientation and two velocity components that respectively modulate compression and shear work. The resulting hotspots are found to be highly localized to a region within 5-20 nm of the crystal-crystal interface. Compressive work plays a considerably larger role in localizing temperature and intra-molecular strain energy for both materials and all crystal orientations considered. Shear induces a moderate increase in energy localization relative to unsheared cases only for relatively weak compressive shock pressures of approximately 10 GPa. These results help isolate and rank the relative importance of hotspot generation mechanisms and are anticipated to guide the treatment of crystal-crystal interfaces in coarse-grained models of polycrystalline high explosive materials.",Materials Science,"Materials science in condensed matter physics focuses on the properties and behaviors of materials from a condensed matter perspective. In particular, this includes techniques, synthesis, characterization, structure. Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces."
Universal quark to gluon ratio in medium-induced parton cascade,Phase Transitions in the Early Universe (Is there a Strongly First Order Electroweak Phase Transition?),True,"We investigate the radiative break-up of a highly energetic quark or gluon in a high-temperature QCD plasma. Within an inertial range of momenta $T \ll \omega \ll E$, where $E$ denotes the energy of the original hard parton (jet) and $T$ the temperature of of the medium, we find that, as a result of the turbulent nature of the underlying parton cascade, the quark to gluon ratio of the soft fragments tends to a universal constant value that is independent of the initial conditions. We discuss implications of this result to jet quenching physics and the problem of thermalization of the quark-gluon plasma in heavy ion collisions.","After some introductory remarks about the prospects of first order phase transitions in the early universe, we discuss in some detail the electroweak phase transition. In the standard model case a clear picture is arising including perturbative and nonperturbative effects. Since in this case the phase transition is not strongly first order as needed for baryogenesis, we discuss supersymmetric variants of the standard model, the MSSM with a light stop$_R$ and a NMSSM model where this can be achieved. We conclude with some remarks about the technical procedure and about possible effects of a strongly first order electroweak phase transition including baryogenesis.",High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
Optimizing microlens arrays for incoherent HiLo microscopy,Reflectionless and invisible potentials in photonic lattices,True,"HiLo microscopy is a powerful, low-cost, and easily configurable technique for acquiring high-contrast optically-sectioned images. However, traditional HiLo microscopes are based on coherent light sources with diffusive glass plates or incoherent light sources with digital mirror devices (DMD) and spatial light modulators (SLM), which are more expensive. Here, we propose a new low-cost HiLo microscopy technique using MLAs and incoherent LED light sources. We simulated structured illumination (SI) patterns and HiLo image generation based on Fresnel diffraction and incoherent imaging. To observe how MLAs affect HiLo images, we used three common MLAs with specific microlens pitch and numerical aperture (NA) to generate periodic illumination patterns. According to our simulations, using MLAs and incoherent light sources can enhance the image contrast compared with a traditional widefield fluorescence microscope. We found that the MLA NA does not significantly affect HiLo images. A larger lens pitch can bring a higher image contrast. However, there is an optimized lens pitch. If the lens pitch is too high, artefacts are observed in HiLo images. To our knowledge, this is the first numerical study about MLA-based HiLo microscopy. This study can benefit researchers using MLAs and incoherent light sources to configure their low-cost HiLo microscopes.","An arbitrarily-shaped optical potential on a discrete photonic lattice, which transversely drifts at a speed larger than the maximum one allowed by the light cone of the lattice band, becomes reflectionless. Such an intriguing result, which arises from the discrete translational symmetry of the lattice, is peculiar to discretized light and does not have any counterpart for light scattering in continuous optical media. A drifting non-Hermitian optical potential of the Kramers-Kronig type is also an invisible potential, i.e. a discrete optical beam crosses the drifting potential without being distorted, delayed nor advanced.",Optics,Optics in physics focuses on adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.
Analyzing epsilon'/epsilon in the 1/N_c Expansion,Relation between the pole and the minimally subtracted mass in dimensional regularization and dimensional reduction to three-loop order,True,"We present a recent analysis of epsilon'/epsilon in the 1/N_c expansion. We show that the 1/N_c corrections to the matrix element of Q_6 are large and positive, indicating a Delta I=1/2 enhancement similar to the one of Q_1 and Q_2 which dominate the CP conserving amplitude. This enhances the CP ratio and can bring the standard model prediction close to the measured value for central values of the parameters.",We compute the relation between the pole quark mass and the minimally subtracted quark mass in the framework of QCD applying dimensional reduction as a regularization scheme. Special emphasis is put on the evanescent couplings and the renormalization of the epsilon-scalar mass. As a by-product we obtain the three-loop on-shell renormalization constants Zm(OS) and Z2(OS) in dimensional regularization and thus provide the first independent check of the analytical results computed several years ago.,High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
Majorana Neutrino Masses and Neutrino Oscillations,Radiative Corrections to Deep Inelastic Scattering in the Presence of an Additional Z' at LEP x LHC,True,"We examine some patterns of Majorana neutrino mass matrix which is compatible with the phenomenological lepton flavor mixing matrix and non-observation of neutrinoless double beta decay. Imposing $(M_{\nu})_{ee}=0$ for the Majorana neutrino mass matrix in the leading order, we obtain a relationship between the solar mixing angle and the neutrino masses $m_1$ and $m_2$. Additional possible texture zeros are assigned to the mass matrix so as for the nonvanishing $\theta_{13}$ to be predictable in terms of neutrino masses. We also show how three neutrino masses can be predicted from the solar mixing angle and the experimental results of $\Delta m^2_{sol}$ and $\Delta m^2_{atm}$ in this framework, and we discuss naturality of the forms of the mass matrix found in our work.","The study of ep-scattering at LEP x LHC offers an interesting opportunity to search for additional heavy neutral gauge bosons. We study the influence of radiative corrections, especially of the potentially large QED contributions, to the expected cross sections. These corrections are typically of the same order as the effect searched for or even larger and have to be taken into account properly.",High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
VLBI imaging of M81* at 3.4 mm with source-frequency phase-referencing,A Search for Laser Emission with Megawatt Thresholds from 5600 FGKM Stars,True,"We report on the first VLBI image of the M81 nucleus (M81*) at a wavelength of 3.4 mm, obtained with the source-frequency phase-referencing (SFPR) technique. Thanks to the SFPR calibration, the coherent integration time could be eventually increased by more than an order of magnitude, which enabled the detection of fringes at the level of 45 mJy beam-1 with a dynamic range higher than 130:1. This paves the way toward future mm/sub-mm VLBI observations of weaker sources. From the analysis of the M81* visibilities, a core size of ~50 uas at 3.4 mm was estimated. This follows the power-law relationship with wavelength lambda^0.88, reported previously at lower frequencies. These results constrain the core size (at 3.4 mm) to a minimum of ~80 Schwarzschild radii of M81*.","We searched high resolution spectra of 5600 nearby stars for emission lines that are both inconsistent with a natural origin and unresolved spatially, as would be expected from extraterrestrial optical lasers. The spectra were obtained with the Keck 10-meter telescope, including light coming from within 0.5 arcsec of the star, corresponding typically to within a few to tens of au of the star, and covering nearly the entire visible wavelength range from 3640 to 7890 angstroms. We establish detection thresholds by injecting synthetic laser emission lines into our spectra and blindly analyzing them for detections. We compute flux density detection thresholds for all wavelengths and spectral types sampled. Our detection thresholds for the power of the lasers themselves range from 3 kW to 13 MW, independent of distance to the star but dependent on the competing ""glare"" of the spectral energy distribution of the star and on the wavelength of the laser light, launched from a benchmark, diffraction-limited 10-meter class telescope. We found no such laser emission coming from the planetary region around any of the 5600 stars. As they contain roughly 2000 lukewarm, Earth-size planets, we rule out models of the Milky Way in which over 0.1 percent of warm, Earth-size planets harbor technological civilizations that, intentionally or not, are beaming optical lasers toward us. A next generation spectroscopic laser search will be done by the Breakthrough Listen initiative, targeting more stars, especially stellar types overlooked here including spectral types O, B, A, early F, late M, and brown dwarfs, and astrophysical exotica.",Instrumentation and Methods for Astrophysics,"Instrumentation and methods for astrophysics focuses on detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design."
Holographic energy loss in non-relativistic backgrounds,Charge-Ordered State versus Dimer-Mott Insulator at Finite Temperatures,True,"In this paper, we study some aspects of energy loss in non-relativistic theories from holography. We analyze the energy lost by a rotating heavy point particle along a circle of radius $l$ with angular velocity $\omega$ in theories with general dynamical exponent $z$ and hyperscaling violation exponent $\theta$. It is shown that this problem provides a novel perspective on the energy loss in such theories. A general computation at zero and finite temperature is done and it is shown that how the total energy loss rate depends non-trivially on two characteristic exponents $(z,\theta)$. We find that at zero temperature there is a special radius $l_c$ where the energy loss is independent of different values of $(\theta,z)$. Also at zero temperature, there is a crossover between a regime in which the energy loss is dominated by the linear drag force and by the radiation because of the acceleration of the rotating particle. We find that the energy loss of the particle decreases by increasing $\theta$ and $z$. We note that, unlike in the zero temperature, there is no special radius $l_c$ at finite temperature case.","We theoretically investigate the competition between charge-ordered state and Mott insulating state at finite temperatures in quarter-filled quasi-one-dimensional electron systems, by studying dimerized extended Hubbard chains with interchain Coulomb interactions. In order to take into account one-dimensional fluctuations properly, we apply the bosonization method to an effective model obtained by the interchain mean-field approximation. The results show that lattice dimerization, especially in the critical region, and frustration in the interchain Coulomb interactions reduce the charge-ordering phase transition temperature and enlarge the dimer-Mott insulating phase. We also derive a general formula of the Knight shift in the charge-ordered phase and its implication to experiments is discussed.",Strongly Correlated Electrons,"Strongly correlated electrons in condensed matter physics focuses on systems where interactions between electrons are so strong that they cannot be described adequately by non-interacting models. In particular, this includes quantum magnetism, non-Fermi liquids, spin liquids, quantum criticality, charge density waves, and metal-insulator transitions."
Metastable tight knots in a worm-like polymer,Thermodynamic Modelling of Phase Equilibrium in Nanoparticles-Nematic Liquid Crystals Composites,True,"Based on an estimate of the knot entropy of a worm-like chain we predict that the interplay of bending energy and confinement entropy will result in a compact metastable configuration of the knot that will diffuse, without spreading, along the contour of the semi-flexible polymer until it reaches one of the chain ends. Our estimate of the size of the knot as a function of its topological invariant (ideal aspect ratio) agrees with recent experimental results of knotted dsDNA. Further experimental tests of our ideas are proposed.","In this work, a theoretical study of phase equilibrium in mixtures of a calamitic nematic liquid crystal and hard spherical nanoparticles is presented. A mean-field thermodynamic model is used, where the interactions are considered to be proportional to the number of contacts, which in turn are proportional to the areas and area fractions of each component. It is shown that, as the radius of the particle is increased, the effect of the particles on the isotropic-nematic transition is less pronounced, and that for large radius the miscibility increases as the particle radius increases.",Soft Condensed Matter,"Soft condensed matter in physics focuses on the study of materials that are easily deformable by external fields or internal stresses. In particular, this includes membranes, polymers, liquid crystals, glasses, colloids, and granular matter."
Spin dynamics in the Kapitza-Dirac effect,Electron spill-out effect on third-order optical nonlinearity of metallic nanostructure,True,"Electron spin dynamics in Kapitza-Dirac scattering from a standing laser wave of high frequency and high intensity is studied. We develop a fully relativistic quantum theory of the electron motion based on the time-dependent Dirac equation. Distinct spin dynamics, with Rabi oscillations and complete spin-flip transitions, is demonstrated for Kapitza-Dirac scattering involving three photons in a parameter regime accessible to future high-power X-ray laser sources. The Rabi frequency and, thus, the diffraction pattern is shown to depend crucially on the spin degree of freedom.","Over the last three decades, plasmonics using metallic nanostructures has become central to nanophotonics research. Recently, its targets have been extended to nonlinear optical phenomena. In a nonlinear regime, quantum mechanical effects, as exemplified by electron spill-out on the surface of nanostructures, significantly influence the optical response. Quantum hydrodynamic theory (QHT) is a promising basis for the analysis of nonlinear optical responses involving such quantum mechanical effects. Herein, QHT was applied to calculate the third-order optical nonlinearity of a spherical metallic nanostructure. The results demonstrate how electron spill-out strongly affects plasmon resonance and third-order optical nonlinearity.",Optics,Optics in physics focuses on adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.
Fourth-order QCD renormalization group quantities in the {\rm{V}}-scheme and the relation of the $\beta$-function to the Gell-Mann--Low function in QED,Gravitational waves of a first-order QCD phase transition at finite coupling from holography,True,"The semi-analytical $O(\alpha_s^4)$ expression for the renormalization group $\beta$-function in the ${\rm{V}}$-scheme is obtained in the case of the $SU(N_c)$ gauge group. In the process of calculations we use the existing information about the three-loop perturbative approximation for the QCD static potential, evaluated in the $\rm{\overline{MS}}$-scheme. The comparison of the numerical values of the third and fourth coefficients for the QCD RG $\beta$- functions in the gauge-independent ${\rm{V}}$- and $\rm{\overline{MS}}$-schemes and in minimal MOM scheme in the the Landau gauge is presented. The phenomenologically-oriented comparisons for the coefficients of $O(\alpha_s^4)$ expression for the $e^+e^-$-annihilation R-ratio in these schemes are presented. It is shown, that taking into account of these QCD contributions are of vital importance and lead to the drastic decrease of the scheme-dependence ambiguities of the fourth-order perturbative QCD approximations for the $e^+e^-$ annihilation R-ratio for the number of active flavours,$n_f=5$ in particular. We demonstrate that in the case of QED with $N$-types of leptons the coefficients of the $\beta^{\rm{V}}$-function are closely related to the ones of the Gell-Mann--Low $\Psi$-function and emphasise that they start to differ from each other at the fourth order due to the appearance of the extra $N^2$-contribution in the V-scheme. The source of this extra correction is clarified. The general all-order QED relations between the coefficients of the $\beta^{\rm{V}}$- and $\Psi$-functions are discussed.","We consider a holographic study of coupling dependent gravitational waves produced by the cosmic first order QCD phase transition at finite baryochemical potential. In the dual description, the first-order QCD phase transition corresponds to the first-order Hawking-Page phase transition in Gauss-Bonnet gravity. At intermediate coupling, we obtain key quantities characterizing the gravitational wave energy density spectrum. We then find that the gravitational waves might be detected for sufficiently large Gauss-Bonnet coupling, while sound waves play an important role in the spectrum. We also consider a supercooling scenario during the QCD phase transition and show that the gravitational waves generated during this period can be detected by pulsar timing array experiments.",High Energy Physics - Theory,"High energy physics - theory focuses on formal aspects of quantum field theory. String theory, supersymmetry and supergravity."
Implicit infinite lattice summations for real space ab initio correlation methods,Towards efficient orbital-dependent density functionals for weak and strong correlation,True,"We suggest a local wave function based ab initio correlation method for infinite periodic systems, which can describe both the near range as well as the long range correlation effects coherently in the same scheme. Specifically, this work introduces a formalism which allows to describe the long range polarization cloud around a quasi particle in a solid explicitly in the formalism of local wave function based ab initio descriptions. To this end we reformulate the infinite lattice summation underlying the quantum chemistry formula to second order in a closed analytic form employing the elliptic theta function of the third kind. All formulas and manipulations are developed explicitely in full detail and a first numeric example demonstrates the principle idea. Good results for the long range polarization effects in LiH and LiF are found in agreement with earlier estimates.","We present a new paradigm for the design of exchange-correlation functionals in density-functional theory. Electron pairs are correlated explicitly by means of the recently developed second order Bethe-Goldstone equation (BGE2) approach. Here we propose a screened BGE2 (sBGE2) variant that efficiently regulates the coupling of a given electron pair. sBGE2 correctly dissociates H$_2$ and H$_2^+$, a problem that has been regarded as a great challenge in density-functional theory for a long time. The sBGE2 functional is then taken as a building block for an orbital-dependent functional, termed ZRPS, which is a natural extension of the PBE0 hybrid functional. While worsening the good performance of sBGE2 in H$_2$ and H$_2^{+}$, ZRPS yields a remarkable and consistent improvement over other density functionals across various chemical environments from weak to strong correlation.",Materials Science,"Materials science in condensed matter physics focuses on the properties and behaviors of materials from a condensed matter perspective. In particular, this includes techniques, synthesis, characterization, structure. Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces."
"FA2PbBr4: synthesis, structure and unusual optical properties of two polymorphs of formamidinium-based layered (110) hybrid perovskite",Optimal finite-range atomic basis sets for liquid water and ice,True,"Small cations such as guanidinium and cesium can act as templating cations to form low dimensional phases (2D, 1D, 0D) in the case of excess of organic halides. However, such phases with the widely used formamidinium (FA+) cation have not been reported so far. In this study, we discovered two novel low dimensional phases with a composition of FA2PbBr4 and investigated the prerequisites of their formation upon crystallization of FABr-excessive solutions of FAPbBr3. We found that both phases have the structure of (110) layered perovskite but are represented by two different polymorphs with eclipsed and staggered arrangement of adjacent layers. It was shown that FA2PbBr4 phases usually exist in a labile equilibrium with FAPbBr3 3D perovskite and can form composites with it. The optical properties of both polymorphs were comprehensively studied by means of absorption spectroscopy, diffuse reflection spectroscopy and photoluminescence spectroscopy. DFT calculations were applied to investigate the band structure of the FA2PbBr4 and to corroborate the conclusions on their optoelectronic properties. As a result, we found that FA2PbBr4 phases irradiated by UV can exhibit effective green photoluminescence due to a transfer of excitation energy to defective states or 3D perovskite inclusions.","Finite-range numerical atomic orbitals are the basis functions of choice for several first principles methods, due to their flexibility and scalability. Generating and testing such basis sets, however, remains a significant challenge for the end user. We discuss these issues and present a new scheme for generating improved polarization orbitals of finite range. We then develop a series of high-accuracy basis sets for the water molecule, and report on their performance in describing the monomer and dimer, two phases of ice, and liquid water at ambient and high density. The tests are performed by comparison with plane-wave calculations, and show the atomic orbital basis sets to exhibit an excellent level of transferability and consistency. The highest-order bases (quadruple-zeta) are shown to give accuracies comparable to a plane-wave kinetic energy cutoff of at least ~1000 eV for quantities such as energy differences and ionic forces, as well as achieving significantly greater accuracies for total energies and absolute pressures.",Materials Science,"Materials science in condensed matter physics focuses on the properties and behaviors of materials from a condensed matter perspective. In particular, this includes techniques, synthesis, characterization, structure. Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces."
Molecular structure elucidation with charge-state control,Semiconductor quantum dots enhanced graphene/CdTe heterostructure solar cells by photo-induced doping,True,"The charge state of a molecule governs its physicochemical properties, such as conformation, reactivity and aromaticity, with implications for on-surface synthesis, catalysis, photo conversion and applications in molecular electronics. On insulating, multilayer NaCl films we control the charge state of organic molecules and resolve their structures in neutral, cationic, anionic and dianionic states by atomic force microscopy, obtaining atomic resolution and bond-order discrimination using CO functionalized tips. We detect changes in conformation, adsorption geometry and bond-order relations for azobenzene, tetracyanoquinodimethane and pentacene in multiple charge states. Moreover, for porphine we investigate the charge-state-dependent change of aromaticity and conjugation pathway in the macrocycle. This work opens the way to studying chemical-structural changes of individual molecules for a wide range of charge states.","We report a type of solar cells based on graphene/CdTe Schottky heterostructure, which can be improved by surface engineering as graphene is one-atomic thin. By coating a layer of ultrathin CdSe quantum dots onto graphene/CdTe heterostructure, the power conversion efficiency is increased from 2.08% to 3.1%. Photo-induced doping is mainly accounted for this enhancement, as evidenced by transport, photoluminescence and quantum efficiency measurements. This work demonstrates a feasible way of designing solar cells with incorporating one dimensional and two dimensional materials.",Mesoscale and Nanoscale Physics,"Mesoscale and nanoscale physics in condensed matter physics focuses on the physical properties and behaviors of systems with dimensions at the mesoscopic scale (intermediate between microscopic and macroscopic scales) and the nanoscale (typically less than 100 nanometers). In particular, this includes semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, and plasmonic nanostructures."
"Goos-H\""{a}nchen Shifts of Partially Coherent Light Fields",Polarisation and Transparency of Relativistically Rotating Two-Level Atoms,True,"We investigate the Goos-H\""{a}nchen (GH) shifts of partially coherent fields (PCFs) by using the theory of coherence. We derive a formal expression for the GH shifts of PCFs in terms of Mercer's expansion, and then clearly demonstrate the dependence of the GH shift of each mode of PCFs on spatial coherence and beam width. We discuss the effect of spatial coherence on the resultant GH shifts, especially for the cases near the critical angles, such as totally reflection angle.","Electromagnetism and light-matter interaction in rotating systems is a rich area of ongoing research. We study the interaction of light with a gas of non-interacting two-level atoms confined to a rotating disk. We numerically solve the optical Bloch equations to investigate the how relativistic rotation affects the atoms' polarisation and inversion. The results are used to predict the steady-state stimulated emission seen by an observer at rest with the optical source in the laboratory frame. Competing physical effects due to time dilation and motion-induced detuning strongly modify solutions to the Bloch equations when the gas's velocity becomes relativistic. We account for the non-inertial motion by including acceleration-dependent excitation and emission rates, arising from a generalised Unruh effect. The effective thermal vacuum resulting from large accelerations de-polarises the gas while driving it towards population inversion, negating coherent driving due to the external light source. The results illustrate the intuitive, special-relativistic approach of assigning instantaneously comoving frames to understand non-inertial motion's influence when only local fields are physically significant.",Optics,Optics in physics focuses on adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.
