title_1,abstract_1,subcategory_1,subsubcategory_1,title_2,abstract_2,subcategory_2,subsubcategory_2,label
ATLAS Commander: an ATLAS production tool,"This paper describes the ATLAS production tool AtCom (for ATLAS Commander). The purpose of the tool is to automate as much as possible the task of a production manager: defining and submitting jobs in large quantities, following up upon their execution, scanning log files for known and unknown errors, updating the various ATLAS bookkeeping databases on successful completion of a job whilst cleaning up and resubmitting otherwise. The design of AtCom is modular, separating the generic basic job management functionality from the interactions with the various databases on the one hand, and the computing systems on the other hand. Given the near future reality of different flavors of computing systems (legacy and GRID) deployed concurrently at the various, or even a single ATLAS site, AtCom allows several of them to be used at the same time transparently.",hep,hep-ex,Global Analysis of the Higgs Candidate with Mass ~ 125 GeV,"We analyze the properties of the Higgs candidate with mass ~ 125 GeV discovered by the CMS and ATLAS Collaborations, constraining the possible deviations of its couplings from those of a Standard Model Higgs boson. The CMS, ATLAS and Tevatron data are compatible with Standard Model couplings to massive gauge bosons and fermions, and disfavour several types of composite Higgs models unless their couplings resemble those in the Standard Model. We show that the couplings of the Higgs candidate are consistent with a linear dependence on particle masses, scaled by the electroweak scale ~ 246 GeV, the power law and the mass scale both having uncertainties ~ 20%.",hep,hep-ex,1
Concurrent effects of gas drag and planet migration on pebble accretion,"We study the effect of a migrating planet ($10<M_p<20$ Earth mass) on the dynamics of pebbles in a radiative disk using 2D two-fluid simulations carried out with the RoSSBi code. The combined action of the waves induced by the migrating planet and drag back-reaction on the gas produces a complex evolution of the flux of pebbles. The waves excite zonal flows which act as dust traps, and accumulate pebbles. Owing to drag back-reaction, a Kelvin-Helmholtz instability develops, generating turbulent dust rings containing several Earth masses of solids, where planetesimal formation is likely. The more massive the planet, the faster the dust rings develop. In competition with planet migration, this process triggers several dust rings, with a radial separation scaling as $1/M_p$. We discover a transition around $13$ Earth masses. Below that, pebbles are stopped at the inner side of the planet's orbit, but pebble accretion on the planet is sustained. Above that, drag back-reaction in the dust ring region flattens the pressure profile while the planet migrates, which limits further growth by pebble accretion. This new {\it pebble isolation mass} is about a factor of 2 lower than often reported in the literature. This reduces the overall formation timescale of Super-Earth planets, while favoring their survival after the disk's dissipation because further accretion is stifled. Finally, our results support an hybrid model for the formation of Jupiter via both pebbles and planetesimals accretion.",astro-ph,astro-ph.EP,Stellar wind-magnetosphere interaction at exoplanets: computations of auroral radio powers,"We present calculations of the auroral radio powers expected from exoplanets with magnetospheres driven by an Earth-like magnetospheric interaction with the solar wind. Specifically, we compute the twin cell-vortical ionospheric flows, currents, and resulting radio powers resulting from a Dungey cycle process driven by dayside and nightside magnetic reconnection, as a function of planetary orbital distance and magnetic field strength. We include saturation of the magnetospheric convection, as observed at the terrestrial magnetosphere, and we present power law approximations for the convection potentials, radio powers and spectral flux densities. We specifically consider a solar-age system and a young (1 Gyr) system. We show that the radio power increases with magnetic field strength for magnetospheres with saturated convection potential, and broadly decreases with increasing orbital distance. We show that the magnetospheric convection at hot Jupiters will be saturated, and thus unable to dissipate the full available incident Poynting flux, such that the magnetic Radiometric Bode's Law (RBL) presents a substantial overestimation of the radio powers for hot Jupiters. Our radio powers for hot Jupiters are $\sim$5-1300 TW for hot Jupiters with field strengths of 0.1-10 $B_J$ orbiting a Sun-like star, while we find that competing effects yield essentially identical powers for hot Jupiters orbiting a young Sun-like star. However, in particular for planets with weaker magnetic fields our powers are higher at larger orbital distances than given by the RBL, and there are many configurations of planet that are expected to be detectable using SKA.",astro-ph,astro-ph.EP,1
Chern insulators without band inversion in MoS2 monolayers with 3d adatoms,"Electronic and topological properties of MoS2 monolayers endowed with 3d transition metal (TM) adatoms (V-Fe) are explored by using ab initio methods and k.p models. Without the consideration of the Hubbard U interaction, the V, Cr, and Fe adatoms tend to locate on the top of the Mo atoms, while the most stable site for the Mn atom is at the hollow position of the Mo-S hexagon. After the Hubbard U is applied, the most stable sites of all the systems become the top of the Mo atoms. Chern insulators without band inversion are achieved in these systems. The V and Fe adsorption systems are the best candidates to produce the topological states. The k.p model calculations indicate that these topological states are determined by the TM magnetism, the C3v crystal field from the MoS2 substrate, and the TM atomic spin-orbit coupling (SOC). The special two-meron pseudospin texture is found to contribute to the topology. The apparent difference between the Berry curvatures for the V and Fe adsorption systems are also explored. Our results widen the understanding to the Chern insulators and are helpful for the applications of the MoS2 monolayers in the future electronics and spintronics.",cond-mat,cond-mat.mtrl-sci,Intergranular Hotspots: A Molecular Dynamics Study on the Influence of Compressive and Shear Work,"Numerous crystal- and microstructural-level mechanisms are at play in the formation of hotspots, which are known to govern high explosive initiation behavior. Most of these mechanisms, including pore collapse, interfacial friction, and shear banding, involve both compressive and shear work done within the material and have thus far remained difficult to separate. We assess hotspots formed at shocked crystal-crystal interfaces using quasi-1D molecular dynamics simulations that isolate effects due to compression and shear. Two high explosive materials are considered (TATB and PETN) that exhibit distinctly different levels of molecular conformational flexibility and crystal packing anisotropy. Temperature and intra-molecular strain energy localization in the hotspot is assessed through parametric variation of the crystal orientation and two velocity components that respectively modulate compression and shear work. The resulting hotspots are found to be highly localized to a region within 5-20 nm of the crystal-crystal interface. Compressive work plays a considerably larger role in localizing temperature and intra-molecular strain energy for both materials and all crystal orientations considered. Shear induces a moderate increase in energy localization relative to unsheared cases only for relatively weak compressive shock pressures of approximately 10 GPa. These results help isolate and rank the relative importance of hotspot generation mechanisms and are anticipated to guide the treatment of crystal-crystal interfaces in coarse-grained models of polycrystalline high explosive materials.",cond-mat,cond-mat.mtrl-sci,1
Single and double spin asymmetries for deeply virtual Compton scattering measured with CLAS and a longitudinally polarized proton target,"Single-beam, single-target, and double-spin asymmetries for hard exclusive photon production on the proton $\vec{e}\vec{p} \to e' p'\gamma$ are presented. The data were taken at Jefferson Lab using the CLAS detector and a longitudinally polarized ${}^{14}$NH$_3$ target. The three asymmetries were measured in 165 4-dimensional kinematic bins, covering the widest kinematic range ever explored simultaneously for beam and target-polarization observables in the valence quark region. The kinematic dependences of the obtained asymmetries are discussed and compared to the predictions of models of Generalized Parton Distributions. The measurement of three DVCS spin observables at the same kinematic points allows a quasi-model-independent extraction of the imaginary parts of the $H$ and $\tilde{H}$ Compton Form Factors, which give insight into the electric and axial charge distributions of valence quarks in the proton.",nucl,nucl-ex,Measuring light-by-light scattering at the LHC and FCC,"Elastic light-by-light scattering, $\gamma\gamma\to\gamma\gamma$, can be measured in electromagnetic interactions of lead (Pb) ions at the Large Hadron Collider (LHC) and Future Circular Collider (FCC), using the large (quasi)real photon fluxes available in ultraperipheral collisions. The $\gamma\gamma\to\gamma\gamma$ cross sections for diphoton masses m$_{\gamma\gamma}>$ 5 GeV in pp, pPb, and PbPb collisions at LHC ($\sqrt{\rm s_{_{NN}}}$ = 5.5, 8.8, 14 TeV) and FCC ($\sqrt{\rm s_{_{NN}}}$ = 39, 63, 100 TeV) center-of-mass energies are presented. The measurement has controllable backgrounds in PbPb collisions, and one expects about 70 and 2500 signal events per year at the LHC and FCC respectively, after typical detector acceptance and reconstruction efficiency selections.",nucl,nucl-ex,1
Noncommutative gauge theories on $\mathbb{R}^3_\lambda$: Perturbatively finite models,"We show that natural noncommutative gauge theory models on $\mathbb{R}^3_\lambda$ can accommodate gauge invariant harmonic terms, thanks to the existence of a relationship between the center of $\mathbb{R}^3_\lambda$ and the components of the gauge invariant 1-form canonical connection. This latter object shows up naturally within the present noncommutative differential calculus. Restricting ourselves to positive actions with covariant coordinates as field variables, a suitable gauge-fixing leads to a family of matrix models with quartic interactions and kinetic operators with compact resolvent. Their perturbative behavior is then studied. We first compute the 2-point and 4-point functions at the one-loop order within a subfamily of these matrix models for which the interactions have a symmetric form. We find that the corresponding contributions are finite. We then extend this result to arbitrary order. We find that the amplitudes of the ribbon diagrams for the models of this subfamily are finite to all orders in perturbation. This result extends finally to any of the models of the whole family of matrix models obtained from the above gauge-fixing. The origin of this result is discussed. Finally, the existence of a particular model related to integrable hierarchies is indicated, for which the partition function is expressible as a product of ratios of determinants.",hep,hep-th,Non-Abelian cosmic strings in de Sitter and anti-de Sitter space,"In this paper we investigate the non-Abelian cosmic string in de Sitter and anti-de Sitter spacetimes. In order to do that we construct the complete set of equations of motion considering the presence of a cosmological constant. By using numerical analysis we provide the behavior of the Higgs and gauge fields and also for the metric tensor for specific values of the physical parameters of the theory. For de Sitter case, we find the appearance of horizons that although being consequence of the presence of the cosmological constant it strongly depends on the value of the gravitational coupling. In the anti-de Sitter case, we find that the system does not present horizons. In fact the new feature of this system is related with the behavior of the $(00)$ and $(zz)$ components of the metric tensor. They present a strongly increasing for large distance from the string.",hep,hep-th,1
The effect of initial nuclear deformation on dielectron photoproduction in hadronic heavy-ion collisions,"Significant excesses of $e^+e^-$ pair production at very low transverse momentum ($p_T <$ 0.15 GeV/c) were observed by the STAR collaboration in hadronic heavy-ion collisions. Such enhancement is assumed to be a sign of photon-photon production in heavy-ion collisions with hadronic overlap, based on comparisons with model calculations for spherical Au + Au collisions. However, there is a lack of calculations for $e^+e^-$ pair production from coherent photon-photon interactions in hadronic U + U collisions, due to the deformity of Uranium nuclei. In this article, we present calculations for $e^+e^-$ pair photoproduction at $\sqrt{s_{NN}}$ = 193 GeV in both spherical and deformed U + U collisions within STAR detector acceptance using the equivalent photon approximation (EPA). We conduct event-by-event analysis to investigate the effects of initial nuclear deformation on pair production. Our numerical results show good agreement with experimental data for the 40%--60% and 60%--80% centrality classes in U + U collisions, and the differences between spherical and deformed configurations are approximately 3\%. We also calculate the yields of the photoproduced $e^+e^-$ pair in hadronic deformed Ru + Ru and Zr + Zr collisions at $\sqrt{s_{NN}}$ = 200 GeV. The results reveal that the ratios of the yields of Ru to Zr exhibit very small differences ($<$ 1%) between spherical and deformed cases.",hep,hep-ph,Rapid Thermalization by Baryon Injection in Gauge/Gravity Duality,"Using the AdS/CFT correspondence for strongly coupled gauge theories, we calculate thermalization of mesons caused by a time-dependent change of a baryon number chemical potential. On the gravity side, the thermalization corresponds to a horizon formation on the probe flavor brane in the AdS throat. Since heavy ion collisions are locally approximated by a sudden change of the baryon number chemical potential, we discuss implication of our results to RHIC and LHC experiments, to find a rough estimate of rather rapid thermalization time-scale t_{th} < 1 [fm/c]. We also discuss universality of our analysis against varying gauge theories.",hep,hep-ph,1
Leggett modes and multi-band superconductivity in Sr2RuO4,"Sr$_2$RuO$_4$ is a prototypical multi-band superconductor with three bands crossing the Fermi level. These bands exhibit distinct dimensional characteristics, with one quasi-2D $\gamma$-band and two quasi-1D $\alpha$- and $\beta$-bands. This leads to the expectation that the superconductivity on the $\gamma$-band may be only weakly Josephson-coupled to that on the other two bands. Based on an explicit microscopic weak coupling calculation appropriate for Sr$_2$RuO$_4$, we study the collective Leggett modes associated with the relative phase oscillations between the bands and show that a relatively soft Leggett mode exists due to the comparatively weaker inter-band Josephson coupling. These calculations also provide insight into why the superconducting gap magnitudes may be comparable on all three bands, despite the noticeable differences between the $\gamma$ and $\alpha, \beta$ bands. The analyses can be readily applied to other multi-band superconductors.",cond-mat,cond-mat.supr-con,On the possibility of the fractional ac Josephson effect in non-topological conventional superconductor-normal-superconductor junctions,"Topological superconductors supporting Majorana Fermions with non-abelian statistics are presently a subject of intense theoretical and experimental effort. It has been proposed that the observation of a half-frequency or a fractional Josephson effect is a more reliable test for topological superconductivity than the search for end zero modes. Low-energy end modes can occur accidentally due to impurities. In fact, the fractional Josephson effect has been observed for the semiconductor nanowire system. Here we consider the ac Josephson effect in a conventional s-wave superconductor-normal metal-superconductor junction at a finite voltage. Using a Floquet-Keldysh treatment of the finite voltage junction, we show that the power dissipated from the junction, which measures the ac Josephson effect, can show a peak at half (or even incommensurate fractions) of the Josephson frequency. A similar conclusion is shown to hold for the Shapiro step measurement. The ac fractional Josephson peak can also be understood simply in terms of Landau-Zener processes associated with the Andreev bound state spectrum of the junction.",cond-mat,cond-mat.supr-con,1
Disentangling AGN and Star Formation in Soft X-rays,"We have explored the interplay of star formation and AGN activity in soft X-rays (0.5-2 keV) in two samples of Seyfert 2 galaxies (Sy2s). Using a combination of low resolution CCD spectra from Chandra and XMM-Newton, we modeled the soft emission of 34 Sy2s using power law and thermal models. For the 11 sources with high signal-to-noise Chandra imaging of the diffuse host galaxy emission, we estimate the luminosity due to star formation by removing the AGN, fitting the residual emission. The AGN and star formation contributions to the soft X-ray luminosity (i.e. L$_{x,AGN}$ and L$_{x,SF}$) for the remaining 24 Sy2s were estimated from the power law and thermal luminosities derived from spectral fitting. These luminosities were scaled based on a template derived from XSINGS analysis of normal star forming galaxies. To account for errors in the luminosities derived from spectral fitting and the spread in the scaling factor, we estimated L$_{x,AGN}$ and L$_{x,SF}$ from Monte Carlo simulations. These simulated luminosities agree with L$_{x,AGN}$ and L$_{x,SF}$ derived from Chandra imaging analysis within a 3\sigma\ confidence level. Using the infrared [NeII]12.8\mu m and [OIV]26\mu m lines as a proxy of star formation and AGN activity, respectively, we independently disentangle the contributions of these two processes to the total soft X-ray emission. This decomposition generally agrees with L$_{x,SF}$ and L$_{x,AGN}$ at the 3\sigma\ level. In the absence of resolvable nuclear emission, our decomposition method provides a reasonable estimate of emission due to star formation in galaxies hosting type 2 AGN.",astro-ph,astro-ph.CO,The temperature of hot gas halos of early-type galaxies,"Recently, the temperature T and luminosity L_X of the hot gas halos of early type galaxies have been derived with unprecedented accuracy from Chandra data, for 30 galaxies covering a wider range of galactic luminosity (and central velocity dispersion sigma_c) than before. This work investigates the origin of the observed temperatures, by examining the relationship between them and the galaxy structure, the gas heating due to Type Ia supernovae (SNIa's) and the gravitational potential, and the dynamical status of the gas flow. In galaxies with sigma_c<200 km/s, the T's are close to a fiducial average temperature for the gas when in outflow; at 200<sigma_c (km/s)<250, the T's are generally lower than this, and unrelated with sigma_c, which requires a more complex gas flow status; at larger sigma_c, the T's may increase as sigma_c^2, as expected for infall heating, though heating from SNIa's, independent of sigma_c, should be dominant. All observed T's are larger than the virial temperature, by up to ~0.5 keV. This additional heating can be provided in the X-ray brightest galaxies by SNIa's and infall heating, with a SNIa's energy input even lower than in standard assumptions; in the X-ray fainter ones it can be provided by SNIa's, whose energy input would be required close to the full standard value at the largest sigma_c. This same energy input, though, would produce temperatures larger than observed at low sigma_c, if entirely thermalized. The values of the observed T's increase from outflows to inflows; the gas is relatively hotter in outflows, though, if the T's are rescaled by the virial temperature. For 200<sigma_c(km/s)<250, lower L_X values tend to correspond to lower T's, which deserves further investigation.",astro-ph,astro-ph.CO,1
Mesoscopic density-operator in a uniform magnetic field,"A self-consistent linear-response theory for a two-lead mesoscopic structure in Landauer's viewpoint for transport is developed. A density operator relevant in this viewpoint, in a uniform magnetic field is derived. It is shown that this operator differs from the one given in Kubo's viewpoint by a term that represents the self-consistent effects. Hence, a special emphasis is devoted to the diagonal master equation where an exact solution is obtained in the framework of elastic scattering theory.",cond-mat,cond-mat.mes-hall,Theory of electrical spin-detection at a ferromagnet/semiconductor interface,"We present a theoretical model that describes electrical spin-detection at a ferromagnet/semiconductor interface. We show that the sensitivity of the spin detector has strong bias dependence which, in the general case, is dramatically different from that of the tunneling current spin polarization. We show that this bias dependence originates from two distinct physical mechanisms: 1) the bias dependence of tunneling current spin polarization, which is of microscopic origin and depends on the specific properties of the interface, and 2) the macroscopic electron spin transport properties in the semiconductor. Numerical results show that the magnitude of the voltage signal can be tuned over a wide range from the second effect which suggests a universal method for enhancing electrical spin-detection sensitivity in ferromagnet/semiconductor tunnel contacts. Using first-principles calculations we examine the particular case of a Fe/GaAs Schottky tunnel barrier and find very good agreement with experiment. We also predict the bias dependence of the voltage signal for a Fe/MgO/GaAs tunnel structure spin detector.",cond-mat,cond-mat.mes-hall,1
Soliton disentangling and ferroelectric hysteresis in reconstructed moire superlattices,"Moire materials, created by lattice-mismatch or/and twist-angle, have spurred great interest in excavating novel quantum phases of matter. Latterly, emergent interfacial ferroelectricity has been surprisingly found in spatial inversion symmetry broken systems, such as rhombohedral-stacked bilayer transition metal dichalcogenides (TMDs). However, the evolution of moire superlattices corresponding to polarization switching and hysteresis is still unclear, which is crucial for giving insight into the interplay between lattice symmetry and band topology, as well as developing optoelectronic memory devices. Here we report on the observation of phonon splitting at strain soliton networks in reconstructed moire superlattices, arising from the twisting and relaxing induced strong three-fold rotational symmetry (C3) breaking. The interval of phonon splitting is tunable by a perpendicular displacement field and exhibits ferroelectric-related hysteresis loops. These phonon evolution features are attributed to the contribution of moire solitons disentangling and lattice viscosity during the motion of domain walls. Moreover, we demonstrate a proof-of-principle moire ferroelectric tunneling junction, whose barrier is modified by net polarization with a tunneling electroresistance of ~10^4. Our work not only reveals the lattice dynamics of moire solitons but also presents a potential pathway for future ferroelectric-based optoelectronic memory devices.",cond-mat,cond-mat.mtrl-sci,Potential mechanical loss mechanisms in bulk materials for future gravitational wave detectors,"Low mechanical loss materials are needed to further decrease thermal noise in upcoming gravitational wave detectors. We present an analysis of the contribution of Akhieser and thermoelastic damping on the experimental results of resonant mechanical loss measurements. The combination of both processes allows the fit of the experimental data of quartz in the low temperature region (10 K to 25 K). A fully anisotropic numerical calculation over a wide temperature range (10 K to 300 K) reveals, that thermoelastic damping is not a dominant noise source in bulk silicon samples. The anisotropic numerical calculation is sucessfully applied to the estimate of thermoelastic noise of an advanced LIGO sized silicon test mass.",cond-mat,cond-mat.mtrl-sci,1
Densities of states in Fe-doped III-V semiconductors: a first-principles study,"The electronic structures of Fe-doped III-V semiconductors were studied by first-principles supercell calculation. It was found that their electronic structures are basically the same as those of Mn-doped ones except that the extra electron of Fe compared to Mn occupies either majority-spin $p$-$d$ hybridized antibonding states ($t_{a,\uparrow}$) or minority-spin $e$ states ($e_{\downarrow}$) and that the center of gravity of the $d$ partial density of states is higher for Fe than for Mn. The present calculations suggest that ferromagnetism appears when the $e_{\downarrow}$ states start to be occupied. The band splitting due to $s$-$d$ hybridization was found to be significantly smaller than the one due to $p$-$d$ hybridization. This indicates that the $s,p$-$d$ exchange interaction is not responsible for the high-temperature ferromagnetism of the Fe-doped ferromagnetic semiconductors even in $n$-type compounds.",cond-mat,cond-mat.mtrl-sci,Singularities of Magnetic and Elastic Characteristics of La2/3Ba1/3MnO3: Analysis of Martensitic Kinetics,A coordinated temperature behavior of magnetic susceptibility and internal friction has been observed in the La2/3Ba1/3MnO3 manganite in the temperature region of the crystal phase separation 5-340 K. Stepwise temperature behavior of the susceptibility of the single crystal sample and corresponding singular behavior of the internal friction in the polycrystalline manganite have been found. These small-scale features of the temperature dependences of the susceptibility and the internal friction are considered to be a reflection of martensitic kinetics of the structural phase transformation R3c-Imma in the 200 K temperature region.,cond-mat,cond-mat.mtrl-sci,1
String bits and the Myers effect,"Based on the non-abelian effective action for D1-branes, a new action for matrix string theory in non-trivial backgrounds is proposed. Once the background fields are included, new interactions bring the possibility of non-commutative solutions i.e. The Myers effect for ``string bits'' .",hep,hep-th,Black holes to white holes I. A complete quasi-classical model,"This is the first of two papers presenting different versions of quasi-classical toy models for the non-singular evolution of the geometry and the associated effective stress-energy tensor for a spherically symmetric black hole that evolves into a white hole and eventually disappears after evaporating down to the Planck scale. The ansatz for the geometry is inspired by calculations of the semi-classical stress-energy tensor in the Schwarzschild background and ideas from loop quantum gravity for a nonsingular transition to the white hole. In this paper the main emphasis is on the evolution of the black hole, and the evolution of the white hole is assumed to be essentially the time reverse of that of the black hole. The negative energy of the Hawking ""partners"" flows out of the white hole to future null infinity. The white hole disappears when the matter and radiation that collapsed to form the black hole emerges. I discuss the compatibility of the model with some of the quantum energy conditions proposed in the literature, and, briefly, the implications for the interpretation of black hole entropy. The second paper considers how the evolution of the white hole can be modified to avoid prolonged emission of negative energy.",hep,hep-th,1
On the finite temperature Drude weight of the anisotropic Heisenberg chain,"We present a study of the Drude weight $D(T)$ of the spin-1/2 $XXZ$ chain in the gapless regime. The thermodynamic Bethe ansatz (TBA) is applied in two different ways. In the first application we employ the particle basis of magnons and their bound states. In this case we rederive and considerably extend earlier work in the literature. However, in the course of our investigation we find arguments that cast doubt on the applicability of the TBA in this case. In a second application by use of the spinon and anti-spinon particle basis we obtain completely different results. Only for anisotropy parameter $\Delta$ close to 0 we find that $D(T)$ is a monotonously decaying function of temperature. For $\Delta$ close to 1 the behaviour is entirely different showing a finite temperature maximum. Also for the isotropic antiferromagnetic chain ($\Delta=1$) the results for $D(T)$ are finite for T=0 as well as for $T>0$ with an infinite positive slope at T=0.",cond-mat,cond-mat.str-el,"Interplay of electron correlations, spin-orbit couplings, and structural effects for Cu centers in the quasi-two-dimensional magnet InCu$_{2/3}$V$_{1/3}$O$_3$","Less common ligand coordination of transition-metal centers is often associated with peculiar valence-shell electron configurations and outstanding physical properties. One example is the Fe$^+$ ion with linear coordination, actively investigated in the research area of single-molecule magnetism. Here we address the nature of 3$d^9$ states for Cu$^{2+}$ ions sitting in the center of trigonal bipyramidal ligand cages in the quasi-two-dimensional honeycomb compound InCu$_{2/3}$V$_{1/3}$O$_3$, whose unusual magnetic properties were intensively studied in the recent past. In particular, we discuss the interplay of structural effects, electron correlations, and spin-orbit couplings in this material. A relevant computational finding is a different sequence of the Cu ($xz$, $yz$) and ($xy$, $x^2\!-\!y^2$) levels as compared to existing electronic-structure models, which has implications for the interpretation of various excitation spectra. Spin-orbit interactions, both first- and second-order, turn out to be stronger than previously assumed, suggesting that rather rich single-ion magnetic properties can be in principle achieved also for the 3$d^9$ configuration by properly adjusting the sequence of crystal-field states for such less usual ligand coordination.",cond-mat,cond-mat.str-el,1
All-Optical Formation of Quantum Degenerate Mixtures,"We report the realization of quantum degenerate mixed gases of ytterbium (Yb) isotopes using all-optical methods. We have succeeded in cooling attractively interacting 176Yb atoms via sympathetic cooling down to below the Bose-Einstein transition temperature, coexisting with a stable condensate of 174Yb atoms with a repulsive interaction. We have observed a rapid atom loss in 176Yb atoms after cooling down below the transition temperature, which indicates the collapse of a 176Yb condensate. The sympathetic cooling technique has been applied to cool a 173Yb-174Yb Fermi-Bose mixture to the quantum degenerate regime.",cond-mat,cond-mat.other,Detecting the tunneling rates for strongly interacting fermions on optical lattices,"Strongly interacting fermionic atoms on optical lattices are studied through a Hubbard-like model Hamiltonian, in which tunneling rates of atoms and molecules between neighboring sites are assumed to be different. In the limit of large onsite repulsion U, the model is shown to reproduce the t-J Hamiltonian, in which the J coefficient of the Heisenberg term depends on the particle-assisted tunneling rate g: explicitly, $J=4 g^2/U$. At half-filling, g drives a crossover from a Brinkman-Rice paramagnetic insulator of fully localized atoms (g=0) to the antiferromagnetic Mott insulator of the standard Hubbard case (g=t). This is observed already at the intermediate coupling regime in the number of doubly occupied sites, thus providing a criterion to extract from measurements the effective value of g.",cond-mat,cond-mat.other,1
Vector Curvaton with varying Kinetic Function,"A new model realisation of the vector curvaton paradigm is presented and analysed. The model consists of a single massive Abelian vector field, with a Maxwell type kinetic term. By assuming that the kinetic function and the mass of the vector field are appropriately varying during inflation, it is shown that a scale invariant spectrum of superhorizon perturbations can be generated. These perturbations can contribute to the curvature perturbation of the Universe. If the vector field remains light at the end of inflation it is found that it can generate substantial statistical anisotropy in the spectrum and bispectrum of the curvature perturbation. In this case the non-Gaussianity in the curvature perturbation is predominantly anisotropic, which will be a testable prediction in the near future. If, on the other hand, the vector field is heavy at the end of inflation then it is demonstrated that particle production is approximately isotropic and the vector field alone can give rise to the curvature perturbation, without directly involving any fundamental scalar field. The parameter space for both possibilities is shown to be substantial. Finally, toy-models are presented which show that the desired variation of the mass and kinetic function of the vector field can be realistically obtained, without unnatural tunings, in the context of supergravity or superstrings.",astro-ph,astro-ph.CO,On the gauge dependence of gravitational waves generated at second order from scalar perturbations,"We revisit and clarify the gauge dependence of gravitational waves generated at second order from scalar perturbations. In a universe dominated by a perfect fluid with a constant equation-of-state parameter $w$, we compute the energy density of such induced gravitational waves in the Newtonian, comoving, and uniform curvature gauges. Huge differences are found between the Newtonian and comoving gauge results for any $w \,(\ge 0)$. This is always caused by the perturbation of the shift vector. Interestingly, the Newtonian and uniform curvature gauge calculations give the same energy density for $w>0$. In the case of $w=0$, the uniform curvature gauge result differs only by a factor from that of the comoving gauge, but deviates significantly from that of the Newtonian gauge. Our calculation is done analytically for $w=0$ and $w=1/3$, and our result is consistent with the previous numerical one.",astro-ph,astro-ph.CO,1
Radiative coupling and weak lasing of exciton-polariton condensates,"In spite of having finite life-time exciton-polaritons in microcavities are known to condense at strong enough pumping of the reservoir. We present an analytical theory of such Bose-condensates on a set of localized one-particle states: condensation centers. To understand physics of these arrays one has to supplement the Josephson coupling by the radiative coupling caused by the interference of the light emitted by different centers. Combination of these couplings with the one-site interaction between the bosons leads to a rich nonlinear dynamics. In particular, a new regime of radiation appears. We call it weak lasing: the centers have macroscopic occupations and radiate coherently, but the coupling alone is sufficient for stabilization. The system can have several stable states and switch between them. Moreover, the time reversal symmetry in this regime is, as a rule, broken. A number of existing experimental puzzles find natural interpretation in the framework of this theory.",cond-mat,cond-mat.mes-hall,Sub-picosecond molecular dynamics modulate the energies of spin states for hundreds of nanoseconds,"Molecular vibrations are increasingly seen as a key factor for spin dynamics in single-ion magnets and molecular spin qubits. Herein we show how an inexpensive combination of molecular dynamics calculations and a crystal field analysis can be employed to obtain a dynamical picture of the crystal field splitting. We present the time evolution during 500ns of the spin energy levels in a terbium complex. Our calculations evidence an amplitude of up to tens of cm-1 for the oscillations of the spin energy levels in the fs time scale. Crucially, we also see that the oscillations average out and practically disappear at longer time scales, thus ruling out the modulation of spin energy levels by phonons of long wavelength $\lambda$ (up to $\lambda$ = 40 $\AA$). Our results are compatible with the common approximation of focusing on local vibrations, but at the same time highlight the risks of assuming that the spin energy levels are time- and temperature-independent.",cond-mat,cond-mat.mes-hall,1
